,nm_class,samples,NiSi,SNV,indel,SVMEI,Normal,fold
26,Bone-Osteosarc,f8696c79-b165-92a6-e040-11ac0c4804bf.csv,2521,14,275,336,0,7
27,Bone-Osteosarc,f86975a2-78a4-ef8c-e040-11ac0c4809da.csv,5057,52,157,1522,0,8
28,Bone-Osteosarc,f86ae246-2492-9785-e040-11ac0d4813b0.csv,5883,53,200,1660,0,9
29,Bone-Osteosarc,f86b6ba2-8f4b-ee53-e040-11ac0d485904.csv,2939,27,114,540,0,10
31,Bone-Osteosarc,f86e2d80-911b-7a19-e040-11ac0d486900.csv,9052,77,288,1116,0,2
32,Bone-Osteosarc,f87348df-7186-4c6b-e040-11ac0c482ba9.csv,6988,63,394,864,0,3
33,Bone-Osteosarc,f87cdca1-2c85-49d2-e040-11ac0d485c9d.csv,2588,14,159,988,2,4
34,Bone-Osteosarc,f87d7c27-eeef-920e-e040-11ac0d48388d.csv,4461,40,169,2384,2,5
35,Bone-Osteosarc,f87e94a9-ef37-fcba-e040-11ac0c482332.csv,1752,16,101,496,0,6
36,Bone-Osteosarc,f87eb1b5-1712-ca1f-e040-11ac0c483848.csv,3083,26,127,292,0,7
37,Bone-Osteosarc,f8809cee-8f81-28f8-e040-11ac0d4873bf.csv,414,0,26,32,3,8
38,Bone-Osteosarc,fc93e38d-6bd5-9912-e040-11ac0c4838cd.csv,361,2,6,136,0,9
39,Bone-Osteosarc,fc9469d0-4d0e-bb59-e040-11ac0d481e59.csv,372,0,5,40,0,10
41,Bone-Osteosarc,fc998aec-57dd-eab2-e040-11ac0d48680a.csv,381,0,6,20,0,2
42,Bone-Osteosarc,fc99b734-7f61-88d1-e040-11ac0c482e88.csv,181,0,9,8,0,3
43,Bone-Osteosarc,fc99bbb0-e5c7-fb9e-e040-11ac0d4807e1.csv,80,0,0,0,0,4
44,Breast-AdenoCA,01658141-8398-4585-9f0f-8355dd9b0604.csv,21976,82,847,1709,4,5
45,Breast-AdenoCA,0448206f-3ade-4087-b1a9-4fb2d14e1367.csv,18799,257,1511,4915,2,6
46,Breast-AdenoCA,07b5141f-ac79-439b-883b-b0183bbe7ff5.csv,9471,185,1232,512,10,7
47,Breast-AdenoCA,097a7d36-905b-72be-e050-11ac0d482c9a.csv,65062,191,338,0,6,8
48,Breast-AdenoCA,110b5f05-ded7-45ec-b0f6-a941c92d77dd.csv,8908,116,452,1842,6,9
49,Breast-AdenoCA,13c312ec-0add-4758-ab8d-c193e2e08c6d.csv,2445,20,196,24,0,10
52,Breast-AdenoCA,1bb3a1c7-4d7b-4fb6-b54d-e94cbd0e32aa.csv,5441,65,156,0,0,2
53,Breast-AdenoCA,1c0e384f-7254-4afe-93c0-b3fc6c6a7894.csv,51458,216,1906,1118,0,3
54,Breast-AdenoCA,1eb62abc-7928-405b-84cc-f091ca5347b2.csv,13370,169,438,604,1,4
55,Breast-AdenoCA,207f8a42-5b05-4876-b0ae-ebfaeea27844.csv,8198,165,1136,2184,7,5
56,Breast-AdenoCA,2290b078-6a5b-4c83-9dfb-b525bbf14e4e.csv,5887,60,812,1028,0,6
57,Breast-AdenoCA,25c76a8f-77c0-4650-bddf-45ed0c10a2e6.csv,7559,140,1334,661,23,7
58,Breast-AdenoCA,25e4cad7-2403-4992-9cbc-433574673549.csv,2186,10,163,346,0,8
59,Breast-AdenoCA,27f87d1e-2c32-4beb-9677-62f7a286673d.csv,4192,35,323,2001,0,9
60,Breast-AdenoCA,2b000af3-2c9d-4eaa-af3f-8101b7425c37.csv,4252,41,240,848,0,10
62,Breast-AdenoCA,2da2b745-068d-408c-9163-3b3a78d4aaed.csv,2037,18,147,64,1,2
63,Breast-AdenoCA,30dbe353-86d5-40ed-84c2-dbddf7beb17b.csv,1237,4,108,8,0,3
64,Breast-AdenoCA,3585e133-b3c1-4d90-b5f2-2b867e0ae0ec.csv,9083,61,681,1689,4,4
65,Breast-AdenoCA,36d1a85e-a09b-4537-86e0-eaf1eb03aed8.csv,5341,59,229,1900,0,5
66,Breast-AdenoCA,418e916b-7a4e-4fab-8616-15dcec4d79f8.csv,8570,108,706,2128,7,6
67,Breast-AdenoCA,41f140b8-72b9-4ae3-8b25-6144d9f94d0f.csv,3972,13,117,1609,0,7
68,Breast-AdenoCA,43f7a2e0-fec9-4e43-872d-18c6c946fa17.csv,3198,34,322,1120,2,8
69,Breast-AdenoCA,467ef778-f481-44f3-9768-b9900252d2ba.csv,5989,106,528,1445,2,9
70,Breast-AdenoCA,47312f61-5ef4-4f25-9320-8fbb4758790e.csv,9303,70,452,2383,2,10
72,Breast-AdenoCA,4e84eed6-82a8-4e91-b0fd-61ec6ef69ce9.csv,4487,32,576,1025,2,2
73,Breast-AdenoCA,546b982f-60d9-43df-9761-09369afbee2d.csv,2320,10,191,425,1,3
74,Breast-AdenoCA,5a535c49-d42e-43c6-9d32-dc76f28d4f0f.csv,1955,8,187,34,0,4
75,Breast-AdenoCA,5b7d5767-2037-4175-aec9-886776343181.csv,6817,74,437,1193,2,5
76,Breast-AdenoCA,5dbf3203-ce73-41e4-bf9a-32fc856f73f5.csv,16448,345,1384,3456,6,6
77,Breast-AdenoCA,6764e0a2-7a78-45c1-9189-6001c6518ce4.csv,12268,187,1109,2208,9,7
78,Breast-AdenoCA,6c65cb6d-8c50-4c7c-bc84-eeebe09fbe01.csv,4271,46,470,2966,0,8
79,Breast-AdenoCA,6c8e9197-fd16-4fed-bfda-e349cab26314.csv,8063,184,660,691,8,9
80,Breast-AdenoCA,6d7f44df-e9f0-4542-a6d8-d14ee7804002.csv,2054,18,142,1008,0,10
82,Breast-AdenoCA,71fda5a9-7049-406f-9348-2c24f7ddf5f4.csv,8785,131,807,1722,12,2
83,Breast-AdenoCA,73936e8b-c893-4afd-bd1f-be90c06a4869.csv,3600,29,536,392,0,3
84,Breast-AdenoCA,74039acd-5aca-4c65-818c-3b577d295be0.csv,3585,17,246,624,0,4
85,Breast-AdenoCA,7456abd5-303e-4e6f-bf4e-47efefc7310f.csv,3847,28,203,1216,0,5
86,Breast-AdenoCA,74b57d2c-a83f-4798-b86b-a533975e4cc0.csv,8392,107,867,2532,4,6
87,Breast-AdenoCA,7b08e810-f3c9-4155-ac11-f45a3a4f8b41.csv,8689,178,801,572,8,7
88,Breast-AdenoCA,84c77098-03d0-4b22-afb1-797703e85c6c.csv,9915,73,325,785,2,8
89,Breast-AdenoCA,8691c87f-2468-44bb-a670-3dccd6da33c6.csv,14273,40,215,306,0,9
90,Breast-AdenoCA,8e03e773-5557-4e78-889b-4710c515378f.csv,9310,106,779,1053,7,10
92,Breast-AdenoCA,9032b7fe-e38a-4641-a45e-67041668adc4.csv,7387,162,732,1820,2,2
93,Breast-AdenoCA,97064332-1d4f-4571-93ff-354ffe6d7df9.csv,4439,45,273,908,1,3
94,Breast-AdenoCA,987528ac-437a-4eb8-a335-4f2076d5c006.csv,14765,303,1901,3058,24,4
95,Breast-AdenoCA,987d41ee-6bab-490c-b0f2-bf28c0089de9.csv,15023,130,983,1749,1,5
96,Breast-AdenoCA,9c70688d-6e43-4520-9262-eaae4e4d597d.csv,3890,58,315,1281,0,6
97,Breast-AdenoCA,9ddf2119-a222-4fa5-a9f3-0bec7eeea36b.csv,15803,221,806,1660,5,7
98,Breast-AdenoCA,a6c14ebc-81a2-44f7-af87-2b7ec85e5696.csv,4520,26,346,2318,2,8
99,Breast-AdenoCA,a85cf239-ff51-46e7-9b88-4c2cb49c66b9.csv,11115,182,783,3747,10,9
100,Breast-AdenoCA,a876398c-5b1d-444f-a360-5fe2db697480.csv,11829,336,1032,0,3,10
102,Breast-AdenoCA,aacaba97-ecde-440b-aae0-0e9c608c4b24.csv,3645,32,337,1280,2,2
103,Breast-AdenoCA,b27d75ba-5989-4200-bfe9-f1b7d7cf8008.csv,10072,153,732,3636,5,3
104,Breast-AdenoCA,b752b444-f033-4be4-9d24-e5e80b4181af.csv,8445,119,906,2072,3,4
105,Breast-AdenoCA,c61ded54-f80e-4da8-b1d8-e22551c96118.csv,4571,50,308,238,1,5
106,Breast-AdenoCA,c67409b2-ac25-42a0-8543-4636ef132fe4.csv,3445,28,250,452,0,6
107,Breast-AdenoCA,cc4f9175-a8c8-424a-99d7-8bd11cae0e52.csv,7844,34,457,218,3,7
108,Breast-AdenoCA,d5372745-95cf-4572-a6e7-e7f5b796911a.csv,6853,97,818,2982,9,8
109,Breast-AdenoCA,d8c6d4b8-f279-4edc-aaa3-a1cc266aec4d.csv,11946,71,436,1852,5,9
110,Breast-AdenoCA,d8fbb398-d1da-4444-984a-22c8523625da.csv,14758,301,1191,1824,12,10
112,Breast-AdenoCA,db45d81f-695c-4f99-beea-6dbec1ff47fc.csv,21518,129,1272,809,2,2
113,Breast-AdenoCA,ddc7377d-82c3-480a-be3c-3d1da52c77d4.csv,31631,117,320,1590,0,3
114,Breast-AdenoCA,df291849-4c35-44e1-b013-8f6b7ee36113.csv,6241,62,483,1692,2,4
115,Breast-AdenoCA,e5593865-5f8e-4a4c-b36f-73fbe64d66da.csv,4452,24,300,1028,0,5
116,Breast-AdenoCA,e55f338f-97e2-4394-ae23-c92606069485.csv,2342,26,243,339,0,6
117,Breast-AdenoCA,e7dc7492-3a84-49c7-8dea-8f508b53dc40.csv,2799,24,320,196,1,7
118,Breast-AdenoCA,e8392f20-c9e3-4649-b64f-5b266c393a76.csv,3654,40,244,244,0,8
119,Breast-AdenoCA,ea43434b-197e-48ac-ae2e-46bc7f3776de.csv,18100,304,2037,2836,22,9
120,Breast-AdenoCA,ec4d4cbc-d5d1-418d-a292-cad9576624fd.csv,2790,31,185,1949,0,10
122,Breast-AdenoCA,f221cbb5-eefa-187f-e040-11ac0c481708.csv,10360,198,528,1664,0,2
123,Breast-AdenoCA,f393baf9-2710-9203-e040-11ac0d484504.csv,6113,59,375,1108,4,3
124,Breast-AdenoCA,f393bafd-1baa-e5f4-e040-11ac0d48450b.csv,5901,152,774,997,8,4
125,Breast-AdenoCA,f393bafe-7503-5c45-e040-11ac0d484511.csv,11997,257,1199,716,2,5
126,Breast-AdenoCA,f393bafe-c99f-3725-e040-11ac0d484514.csv,5122,81,315,701,1,6
127,Breast-AdenoCA,f393bb00-888d-710f-e040-11ac0d484518.csv,11018,146,609,1816,3,7
128,Breast-AdenoCA,f393bb01-6ed7-9533-e040-11ac0d484521.csv,6787,101,330,1032,0,8
129,Breast-AdenoCA,f393bb05-53c2-f80a-e040-11ac0d484528.csv,3327,26,139,392,0,9
130,Breast-AdenoCA,f393bb05-c737-4cc3-e040-11ac0d48452a.csv,2032,13,103,912,0,10
132,Breast-AdenoCA,f393bb07-270c-2c93-e040-11ac0d484533.csv,8973,184,788,1704,5,2
133,Breast-AdenoCA,f393bb08-4121-cad8-e040-11ac0d484535.csv,10318,234,1207,996,21,3
134,Breast-AdenoCA,f393bb08-5b50-e009-e040-11ac0d484537.csv,5746,36,249,1316,0,4
135,Breast-AdenoCA,f393bb0a-9b20-a0e5-e040-11ac0d48454e.csv,4916,20,92,770,0,5
136,Breast-AdenoCA,f393bb0a-df7d-645c-e040-11ac0d484550.csv,7174,30,159,428,1,6
137,Breast-AdenoCA,f393bb0b-08ed-3335-e040-11ac0d484554.csv,11160,107,707,963,4,7
138,Breast-AdenoCA,f393bb0c-3ffa-cb72-e040-11ac0d48455c.csv,2493,28,175,729,0,8
139,Breast-AdenoCA,f393bb0c-4178-ca4a-e040-11ac0d48455f.csv,2108,12,86,356,0,9
140,Breast-AdenoCA,f39cc911-36a7-4c06-9e91-4ad86281db3d.csv,3844,22,358,181,2,10
142,Breast-AdenoCA,f69e5057-eda6-4391-ba9a-aedbf6b572da.csv,10898,177,1111,984,5,2
143,Breast-AdenoCA,f7b847e5-0f5d-69b4-e040-11ac0c4845fe.csv,2117,16,212,24,0,3
144,Breast-AdenoCA,f7b84b5d-8f28-e6b7-e040-11ac0c484704.csv,2538,22,160,387,0,4
145,Breast-AdenoCA,f7b84bac-f161-9eee-e040-11ac0c4847ed.csv,3966,26,117,94,2,5
146,Breast-AdenoCA,f7b84c09-15d4-3046-e040-11ac0c4847ff.csv,1493,8,154,0,0,6
147,Breast-AdenoCA,f7c6486a-bb08-f77a-e040-11ac0c482953.csv,1843,6,142,0,0,7
148,Breast-AdenoCA,f7c6a336-3126-7580-e040-11ac0c485971.csv,2707,12,156,212,0,8
149,Breast-AdenoCA,f7c7373c-1972-4968-e040-11ac0d486e80.csv,55653,124,157,8,2,9
150,Breast-AdenoCA,f7d128d2-3964-e3bc-e040-11ac0d481667.csv,2300,4,105,113,0,10
152,Breast-AdenoCA,f7d7b3db-02af-61cb-e040-11ac0c480c03.csv,3168,4,127,48,2,2
153,Breast-AdenoCA,f7e4a2a8-093d-9e36-e040-11ac0d480c7d.csv,4655,99,572,644,6,3
154,Breast-AdenoCA,f7e7b258-b4b2-e6c5-e040-11ac0d486773.csv,6877,55,482,855,0,4
155,Breast-AdenoCA,f7e7d61f-e2dc-b523-e040-11ac0c482000.csv,1957,82,543,84,2,5
156,Breast-AdenoCA,f7ed28a6-8f5f-e87b-e040-11ac0c48120e.csv,2240,11,120,4,0,6
157,Breast-AdenoCA,f7f3e156-0dde-72b9-e040-11ac0d48542c.csv,9242,54,139,574,0,7
158,Breast-AdenoCA,f7f66114-e321-1d4c-e040-11ac0d48541a.csv,1255,10,94,328,0,8
159,Breast-AdenoCA,f7f6619b-fae8-3381-e040-11ac0c483f78.csv,1892,12,151,8,0,9
160,Breast-AdenoCA,f7fdda4f-7bf7-ede7-e040-11ac0c486e57.csv,1203,5,84,332,0,10
162,Breast-AdenoCA,f809247c-2bab-ab06-e040-11ac0d482b8a.csv,1942,4,125,76,0,2
163,Breast-AdenoCA,f848b66f-bd9e-4fba-afd4-eb58848d1ef4.csv,10283,176,1108,2983,9,3
164,Breast-AdenoCA,f8f749b7-547d-49fa-9da2-44eed962b6fd.csv,9593,44,275,550,0,4
165,Breast-AdenoCA,fb9135d9-2acf-41dd-8552-359e6b8c9470.csv,13608,87,508,2473,3,5
166,Breast-AdenoCA,fc447d4f-2532-c8ea-e040-11ac0c48469f.csv,9847,220,585,693,4,6
167,Breast-AdenoCA,fc447d51-cdc2-a180-e040-11ac0c4846a4.csv,5190,44,426,2008,0,7
168,Breast-AdenoCA,fc447d53-24d1-c83d-e040-11ac0c4846a6.csv,3265,27,263,1105,2,8
169,Breast-AdenoCA,fc447d55-95d8-0b34-e040-11ac0d483afa.csv,4579,51,499,532,1,9
170,Breast-AdenoCA,fc447d56-0d53-e0c3-e040-11ac0c4846a8.csv,10543,83,384,1092,4,10
172,Breast-AdenoCA,fc639186-8302-798e-e040-11ac0c484cec.csv,4623,42,361,448,2,2
173,Breast-AdenoCA,fc63cbab-d27a-5ebb-e040-11ac0c48724f.csv,9036,112,579,1114,1,3
174,Breast-AdenoCA,fc68c24d-47ad-7961-e040-11ac0c48595c.csv,6442,84,311,1364,0,4
175,Breast-AdenoCA,fc68e599-6a40-61dc-e040-11ac0d48700d.csv,9946,71,860,752,0,5
176,Breast-AdenoCA,fc6d77a9-121b-48ab-a899-713c3d1319a2.csv,7807,104,784,904,4,6
177,Breast-AdenoCA,fc78685a-7053-152a-e040-11ac0c480ded.csv,2899,26,314,144,0,7
178,Breast-AdenoCA,fc7eb420-5c13-20bd-e040-11ac0d484574.csv,6377,103,664,2185,0,8
179,Breast-AdenoCA,fc7f8eeb-9c40-123e-e040-11ac0c484061.csv,7870,53,494,1490,4,9
180,Breast-AdenoCA,fc806c50-2f6e-418d-e040-11ac0d485f01.csv,6730,77,509,1024,0,10
182,Breast-AdenoCA,fc8130df-1bc2-c537-e040-11ac0d485de6.csv,3289,37,232,274,1,2
183,Breast-AdenoCA,fc8130df-1cdd-cade-e040-11ac0d485dec.csv,1785,4,146,4,0,3
184,Breast-AdenoCA,fc8130df-1e8f-c879-e040-11ac0d485df4.csv,1929,22,126,244,0,4
185,Breast-AdenoCA,fc8130df-1f21-c8f9-e040-11ac0d485dfc.csv,2546,6,172,84,0,5
186,Breast-AdenoCA,fc8130df-2211-cfcc-e040-11ac0d485dde.csv,5791,180,598,712,3,6
187,Breast-AdenoCA,fc8130df-24d9-32f1-e040-11ac0d485df0.csv,2850,12,186,40,0,7
188,Breast-AdenoCA,fc8130df-2628-304a-e040-11ac0d485dfa.csv,2055,2,189,217,1,8
189,Breast-AdenoCA,fc8130df-297f-34a3-e040-11ac0d485e02.csv,2062,6,123,40,0,9
190,Breast-AdenoCA,fc8130df-2ca4-39d2-e040-11ac0d485e00.csv,1500,14,137,4,0,10
192,Breast-AdenoCA,fc8130df-2e39-3814-e040-11ac0d485de0.csv,3107,20,294,621,2,2
193,Breast-AdenoCA,fc8130df-30a5-3e6a-e040-11ac0d485de2.csv,7598,229,728,996,0,3
194,Breast-AdenoCA,fc8130df-3147-3e94-e040-11ac0d485df8.csv,1775,8,149,180,0,4
195,Breast-AdenoCA,fc8130df-3225-3f96-e040-11ac0d485dfe.csv,12716,42,138,365,0,5
196,Breast-AdenoCA,fc8130df-3361-3c8a-e040-11ac0d485dea.csv,2404,15,169,204,0,6
197,Breast-AdenoCA,fc8130df-34f8-22c6-e040-11ac0d485de8.csv,2028,6,204,342,0,7
198,Breast-AdenoCA,fc8130df-35ac-2304-e040-11ac0d485dda.csv,4361,69,499,3313,3,8
199,Breast-AdenoCA,fc8130df-6860-7677-e040-11ac0d485ddc.csv,7611,174,893,577,14,9
200,Breast-AdenoCA,fc8130df-6977-7704-e040-11ac0d485de4.csv,2950,20,190,184,3,10
202,Breast-AdenoCA,fc8130df-897d-5404-e040-11ac0d485e0a.csv,1742,10,156,812,0,2
203,Breast-AdenoCA,fc8130df-8ec8-5b1e-e040-11ac0d485e06.csv,23225,213,1086,1068,18,3
204,Breast-AdenoCA,fc8130df-90ba-5d94-e040-11ac0d485e0c.csv,8992,195,869,1164,12,4
205,Breast-AdenoCA,fc8130df-e399-e34d-e040-11ac0c483279.csv,8477,20,154,185,0,5
206,Breast-AdenoCA,fc8130e0-08dd-b996-e040-11ac0c48327b.csv,3547,14,210,1266,0,6
207,Breast-AdenoCA,fc8130e0-095f-b953-e040-11ac0c483287.csv,1863,9,82,108,0,7
208,Breast-AdenoCA,fc8130e0-096a-b991-e040-11ac0c48327d.csv,36115,80,186,116,0,8
209,Breast-AdenoCA,fc8130e0-09f1-b964-e040-11ac0c48326e.csv,2998,20,100,941,0,9
210,Breast-AdenoCA,fc8130e0-0b9c-bbc9-e040-11ac0c483266.csv,2310,21,199,365,0,10
212,Breast-AdenoCA,fc8130e0-0c53-b432-e040-11ac0c483283.csv,1335,4,104,9,0,2
213,Breast-AdenoCA,fc8130e0-0d25-b475-e040-11ac0c483277.csv,1484,10,89,13,0,3
214,Breast-AdenoCA,fc8130e0-0db6-b568-e040-11ac0c483281.csv,1621,6,101,20,0,4
215,Breast-AdenoCA,fc8130e0-0dcf-b558-e040-11ac0c483285.csv,2500,8,88,129,0,5
216,Breast-AdenoCA,fc8130e0-0e1f-b54d-e040-11ac0c48326c.csv,5903,49,319,2122,0,6
217,Breast-AdenoCA,fc8130e0-0f1a-b6eb-e040-11ac0c48328f.csv,8177,164,467,1071,5,7
218,Breast-AdenoCA,fc8130e0-a538-dda3-e040-11ac0c483264.csv,5730,16,391,1279,0,8
219,Breast-AdenoCA,fc8130e0-a539-dda8-e040-11ac0c48326a.csv,5234,46,260,640,0,9
220,Breast-AdenoCA,fc8130e0-a774-d834-e040-11ac0c483268.csv,3650,10,226,721,2,10
222,Breast-AdenoCA,fc8130e0-a94d-d9d0-e040-11ac0c483262.csv,2046,8,107,920,0,2
223,Breast-AdenoCA,fc8130e0-ad8a-b832-e040-11ac0d485e14.csv,2845,18,304,181,0,3
224,Breast-AdenoCA,fc8130e0-aed2-bb2f-e040-11ac0d485e12.csv,2303,8,164,288,0,4
225,Breast-AdenoCA,fc8130e2-f2ef-d096-e040-11ac0c483293.csv,2642,70,405,158,2,5
226,Breast-AdenoCA,fc8130e3-01ba-c740-e040-11ac0c483291.csv,9799,266,1119,1325,15,6
227,Breast-AdenoCA,fc8130e3-023d-c7d4-e040-11ac0c483295.csv,8645,69,874,871,2,7
228,Breast-AdenoCA,fc8130e5-18b8-ef38-e040-11ac0c483297.csv,4167,28,171,644,0,8
229,Breast-AdenoCA,fc81312a-99ae-7672-e040-11ac0c4832a2.csv,2867,20,214,596,2,9
230,Breast-AdenoCA,fc81312a-d451-38fb-e040-11ac0c4832a4.csv,2628,10,81,20,0,10
232,Breast-AdenoCA,fc8edf46-2005-1af4-e040-11ac0d481414.csv,2670,10,157,2204,0,2
233,Breast-AdenoCA,fc93b9ab-760a-5223-e040-11ac0c482177.csv,8434,108,394,688,2,3
234,Breast-AdenoCA,fc9dbf68-4599-3c64-e040-11ac0d481623.csv,3930,50,397,464,1,4
235,Breast-AdenoCA,fc9ef456-75a2-5967-e040-11ac0c484477.csv,2883,23,197,142,0,5
236,Breast-AdenoCA,fc9f6916-da31-ab17-e040-11ac0c4808f3.csv,7376,164,332,1320,0,6
237,Breast-AdenoCA,fc9f6cb0-ceb9-790d-e040-11ac0c480ad1.csv,9223,145,623,2721,6,7
238,Breast-AdenoCA,fca07e09-1fd2-9ef5-e040-11ac0d485bbd.csv,11554,215,1337,1464,13,8
239,Breast-AdenoCA,fca3f7d0-2231-661c-e040-11ac0c4832fd.csv,8811,92,567,1489,7,9
240,Breast-AdenoCA,fca6150f-d555-a29e-e040-11ac0d4873b2.csv,5097,48,293,1472,0,10
242,CNS-GBM,0332b017-17d5-4083-8fc4-9d6f8fdbbbde.csv,6750,20,495,360,2,2
243,CNS-GBM,04339769-517c-448d-a7ca-951f83608c60.csv,3247,15,167,520,0,3
244,CNS-GBM,08ac57ec-0036-4134-a9bb-f22eaa27ab0d.csv,6660,29,254,0,0,4
245,CNS-GBM,1e27cc8a-5394-4958-9af6-5ece1fe24516.csv,7952,46,488,836,0,5
246,CNS-GBM,25bee010-cc99-4af0-ba2f-fe4dd308be33.csv,1745,14,155,16,0,6
247,CNS-GBM,2c71d542-1653-4d97-8752-f2fd05c7e75d.csv,8101,47,314,964,0,7
248,CNS-GBM,2ce48f01-2f61-49d9-a56a-7438bf4a37d7.csv,7719,32,425,524,0,8
249,CNS-GBM,2fdab641-d73b-4f9a-aa4c-c1944f131a69.csv,4420,25,232,76,1,9
250,CNS-GBM,374cbd87-428e-4509-85c1-b7d3302c30a0.csv,6947,29,444,372,0,10
252,CNS-GBM,39520be3-a2af-4189-acf4-9d239363333a.csv,5511,24,238,392,0,2
253,CNS-GBM,41d50a3c-49fc-4d8a-9c25-bbbcd3a5da6f.csv,6940,47,413,456,0,3
254,CNS-GBM,4a1ad661-f6ae-44e8-b50b-72ff658ff22b.csv,6069,20,209,156,0,4
255,CNS-GBM,4d7f2c74-862b-4aad-98e1-fa831f14a905.csv,4917,26,160,408,2,5
256,CNS-GBM,53dec97d-0464-4ffd-8e2e-95b2b9a03af0.csv,10957,51,603,348,0,6
257,CNS-GBM,56ffaa35-814c-4c0b-b3c6-d4514d34fec2.csv,8219,36,1757,260,1,7
258,CNS-GBM,5fd77ba9-5015-4d8b-86a0-582e5c76bdd6.csv,11159,74,577,1052,1,8
259,CNS-GBM,65723119-bdfe-46f0-b629-c171023abd71.csv,8484,32,378,1404,0,9
260,CNS-GBM,6de41ac1-229b-40b9-a494-5588c284351d.csv,8703,35,380,260,0,10
262,CNS-GBM,7cae6c0b-36fe-411b-bbba-093a4c846d84.csv,8618,215,1070,312,6,2
263,CNS-GBM,82d7fa2d-19cd-41b7-8ed1-ea9fb9a544c6.csv,3530,8,251,184,0,3
264,CNS-GBM,841eb82b-347d-4d7f-805f-3f3701a2983d.csv,7280,26,641,140,0,4
265,CNS-GBM,914421d2-898e-433e-bb66-b1710eaae2c7.csv,10607,43,558,439,5,5
266,CNS-GBM,96e3db14-2bb1-4f68-aed6-5e794750c96e.csv,10018,96,1196,524,2,6
267,CNS-GBM,96ef40c3-8d4c-4fe1-a33a-99f5b205a0bb.csv,5061,26,387,368,3,7
268,CNS-GBM,9880c3c9-5685-42a7-8fe9-7585ea1a1d37.csv,5699,36,315,476,0,8
269,CNS-GBM,a6957d15-453c-4f3b-ab8c-c38054dfe548.csv,3100,8,127,372,0,9
270,CNS-GBM,a8f86b64-914c-4d89-897b-33bcdd1759f7.csv,4169,24,314,848,0,10
272,CNS-GBM,b2d17671-d2e1-4c97-8b01-a976d5abe1d6.csv,4956,79,813,341,4,2
273,CNS-GBM,b60392fb-43d9-4c9c-b91b-ded40492e61c.csv,7792,33,454,420,1,3
274,CNS-GBM,b8151614-b08f-49a3-ab6f-2e780f765a17.csv,6028,52,409,700,0,4
275,CNS-GBM,c065761d-f775-457f-bda0-4c7c257a701e.csv,11997,262,1021,1164,0,5
276,CNS-GBM,c27290e4-6835-448a-abdc-df8ddd5f4630.csv,6148,18,287,572,0,6
277,CNS-GBM,d1132127-1250-43af-9c16-425798a3d1a7.csv,7241,22,422,308,0,7
278,CNS-GBM,d60f54f5-b154-42c4-99fb-cea4e7a33dc7.csv,7153,30,473,692,0,8
