,samples,nm_class,slices,fold
131,047f9e4d-86b5-4943-aef5-68199bf29e8c,Cervix-SCC,4,1
132,a67f4531-99ef-43df-82f5-f6abc4b11826,Cervix-SCC,5,1
133,0f6b355e-3898-4be6-be97-da0c3840a4ed,Cervix-SCC,6,1
134,dc505248-ed04-4f77-a7c6-3fefbc5df27b,Lymph-CLL,7,1
135,04b570c2-3224-4e9b-81cc-089b4a7ff07a,Lymph-CLL,8,1
136,21e7e43e-f9b1-4351-a6d9-b9cd06d15f68,Lymph-CLL,9,1
137,15563a10-47a8-401d-a507-2c7101f7ae60,Lymph-CLL,10,1
139,a7e1deb7-2e3d-4e36-90c7-9cae34cdcfb3,Lymph-CLL,2,1
140,66b4a1f3-480f-4050-96ac-920c1c080864,Lymph-CLL,3,1
141,39a5d94d-e8c8-4057-be96-362ffbafb94d,Lymph-CLL,4,1
142,b7722577-f200-4dec-97f6-4fab3a9ba52d,Lymph-CLL,5,1
143,79524d64-8f4a-4889-b345-33198808b9de,Lymph-CLL,6,1
144,7b296706-b535-45a0-9a8e-4a34a8c33bb5,Lymph-CLL,7,1
145,ffa976f0-aa60-4867-842e-361afa7d68ac,Lymph-CLL,8,1
146,1de83d45-8492-4b83-9055-a9f43b823f91,Lymph-CLL,9,1
147,278b2498-1d64-493b-ac43-3489ec86f313,Lymph-CLL,10,1
149,31a70598-33be-4f09-9990-bd7594467802,Lymph-CLL,2,1
150,50f4d836-79a9-4bc7-a63a-7aa29e41d418,Lymph-CLL,3,1
151,140d6ef7-0217-4d16-9add-215d0d14ba06,Lymph-CLL,4,1
152,367fdef3-d7af-4996-932f-cc5087e843dc,Lymph-CLL,5,1
153,ad92f17f-11e6-49bd-9835-6b2f47053485,Lymph-CLL,6,1
154,c569b867-dadd-4591-af17-7e9b74699561,Lymph-CLL,7,1
155,537cccf2-fb25-448b-813e-ca5d5642b910,Lymph-CLL,8,1
156,8fa9575b-b2c9-4bd7-8da1-3c2cdf0e39f6,Lymph-CLL,9,1
157,def5526a-774a-4704-bb24-10c4e713649a,Lymph-CLL,10,1
159,1193a9c4-5aab-4cd7-a690-60c96bd1172d,Lymph-CLL,2,1
160,22cd3875-a123-4f0d-8cd1-371958208ad6,Lymph-CLL,3,1
161,d5423a93-0a72-43cf-a7ae-9011f47553c7,Lymph-CLL,4,1
162,5f53bcda-2fd3-4574-9cc2-5efe353372b2,Lymph-CLL,5,1
163,e1f0c565-6ed3-4e42-bc3e-c7b0003e837a,Lymph-CLL,6,1
164,3f72f750-5666-44e7-acaf-a912d89475be,Lymph-CLL,7,1
165,c642b9cc-bdb1-4796-9692-8be92398be17,Lymph-CLL,8,1
166,05da3161-1444-4188-914d-19762de3a443,Lymph-CLL,9,1
167,c9f87f0d-4967-4be2-8b92-a20f1980ea22,Lymph-CLL,10,1
169,a83e247a-8f65-4be4-9c6e-a72c4abffae8,Lymph-CLL,2,1
170,91397d9c-3120-407f-8847-74b356943469,Lymph-CLL,3,1
171,616ff577-c5c3-432e-a857-f29901de119c,Lymph-CLL,4,1
172,c00d925a-ca4d-4561-a8f2-d4542f218086,Lymph-CLL,5,1
173,767517f2-f94c-44bb-9af6-36b662b166ef,Lymph-CLL,6,1
174,ca49fdb1-d55a-427c-9819-90980dcd956f,Lymph-CLL,7,1
175,513bafce-375c-49b0-ae75-6c607abd05d8,Lymph-CLL,8,1
176,a1724132-f95c-4622-8987-fe3183b9dce3,Lymph-CLL,9,1
177,55c82198-5be6-4cc5-b5b3-b707af234107,Lymph-CLL,10,1
179,19cd4360-8392-4bc2-ae88-fdc1335d886b,Lymph-CLL,2,1
180,631eedb3-dbd1-4606-90e1-ea91b9a77a5a,Lymph-CLL,3,1
181,7d52a9e7-b5a9-4519-96fd-e8be42a7890c,Lymph-CLL,4,1
182,dabdd983-a819-410e-bfb8-5c66a66cf5ab,Lymph-CLL,5,1
183,8c4038b6-c02a-46db-9514-c13b88d9bf48,Lymph-CLL,6,1
184,eba6d269-27f8-4e50-b59a-5d639bdd5cff,Lymph-CLL,7,1
185,4b7a704b-e516-4275-be11-45cc935237e2,Lymph-CLL,8,1
186,c13d7ee5-2bf0-43e4-9cd3-9326ed9355cf,Lymph-CLL,9,1
187,a9d055c6-6c53-4e85-8270-34883a1342a9,Lymph-CLL,10,1
189,915cbb43-9e00-433d-818f-531011bea57e,Lymph-CLL,2,1
190,3de261ea-6478-4f96-8ca1-30be130e945f,Lymph-CLL,3,1
191,132f7f2a-b902-4343-aa08-cf6a7af10b9a,Lymph-CLL,4,1
192,0b6cd7df-6970-4d60-b7b5-85002a7d8781,Lymph-CLL,5,1
193,f5c8f98a-c34a-49e8-a655-d8f29487b55c,Lymph-CLL,6,1
194,08f7812b-0d74-42ba-985b-d0a027e8a80c,Lymph-CLL,7,1
195,7f7e007e-4b06-4328-b116-6dcdb2ad8181,Lymph-CLL,8,1
196,6ea6b5e4-cdc4-4e3a-bde2-8089d2a4d7eb,Lymph-CLL,9,1
197,1bdfaa8a-1b7e-4251-b135-ce5e4568371b,Lymph-CLL,10,1
199,9e99b8d9-6f0d-4fe0-9c1e-d286c0714909,Lymph-CLL,2,1
200,d88296ac-bb0d-47ab-9051-6c358f0af780,Lymph-CLL,3,1
201,ea4a5ca7-86f9-47c7-81be-0c2c669a999f,Lymph-CLL,4,1
202,8cce153d-953d-40c5-976b-60f6a143608c,Lymph-CLL,5,1
203,ebc1a26b-9582-4756-acd5-b02d1152319d,Lymph-CLL,6,1
204,2f324d8b-ec7b-4d3b-9d64-65f9fc6630a2,Lymph-CLL,7,1
205,43d630aa-3890-401c-bf56-e3a9f325734f,Lymph-CLL,8,1
206,31f02f48-44a4-445e-ac3d-e9bf3d8d25a2,ColoRect-AdenoCA,9,1
207,2df02f2b-9f1c-4249-b3b4-b03079cd97d9,ColoRect-AdenoCA,10,1
209,10ad692b-4c3d-42de-9b5e-4968441388b3,ColoRect-AdenoCA,2,1
210,93ff786e-0165-4b02-8d27-806d422e93fc,ColoRect-AdenoCA,3,1
211,154f80bd-984c-4792-bb89-20c4da0c08e0,ColoRect-AdenoCA,4,1
212,8a929c55-35a6-4645-bb70-4b85d281b139,ColoRect-AdenoCA,5,1
213,f38b5d2e-5cab-45c7-bb0a-38b2efc5c156,ColoRect-AdenoCA,6,1
214,00aa769d-622c-433e-8a8a-63fb5c41ea42,ColoRect-AdenoCA,7,1
215,42d20028-0ddc-4dac-9f05-d674f8915f21,ColoRect-AdenoCA,8,1
216,711c8a16-3cf8-42d8-b29e-fd1e9ef1c82b,ColoRect-AdenoCA,9,1
217,4019c219-c51e-479f-8a9d-cfa6816ed696,ColoRect-AdenoCA,10,1
219,d9690a27-bb02-498e-b15c-ee76e31d16ee,ColoRect-AdenoCA,2,1
220,492b4e58-12e2-47b2-bd47-28f8607072fa,ColoRect-AdenoCA,3,1
221,3c019b2f-52ec-40a8-99b5-98c1423ce627,ColoRect-AdenoCA,4,1
222,d3daf373-1485-455e-a0a1-8e33d215d623,ColoRect-AdenoCA,5,1
223,31e63f89-a6a9-40fb-823d-f41587bd73d8,ColoRect-AdenoCA,6,1
224,a64000df-16e5-4b88-865f-5c680adf60eb,ColoRect-AdenoCA,7,1
225,05486349-24a4-4931-bf5f-c9fefe369af2,ColoRect-AdenoCA,8,1
226,303abbe5-4155-4a0d-bc3b-f8995261ca52,ColoRect-AdenoCA,9,1
227,d3aff5d3-23c0-43ae-9c01-8ddd776b530b,ColoRect-AdenoCA,10,1
229,b6b6e1d3-c592-4836-bdad-d53af2dbcc9a,ColoRect-AdenoCA,2,1
230,b2afbcba-d67d-43f1-be3b-05f3a5836ec0,ColoRect-AdenoCA,3,1
231,6051f40a-99e5-4461-9255-0e70d757b4d5,ColoRect-AdenoCA,4,1
232,ec43c4b5-fb72-4a4a-af03-10c2d05ff159,ColoRect-AdenoCA,5,1
233,2182ce2c-5941-4b65-9419-fc7966d5e6d5,ColoRect-AdenoCA,6,1
234,9e5f0a23-e184-4611-b42b-e882dcf23acd,ColoRect-AdenoCA,7,1
235,f4b9d98f-7b76-4eaa-9595-10b0973d5ff7,ColoRect-AdenoCA,8,1
236,e3ef5cad-4d6e-4f04-babb-a908ee02644b,ColoRect-AdenoCA,9,1
237,05780d48-80e7-4d70-b00c-081f8a9519f2,ColoRect-AdenoCA,10,1
239,080ecc31-756a-4a1b-a51e-d632ac8219f7,ColoRect-AdenoCA,2,1
240,85e29049-a5e8-49fa-a576-e113c7b2c2e3,ColoRect-AdenoCA,3,1
241,63bc376e-5a3d-44fd-8d77-686dfc41e458,ColoRect-AdenoCA,4,1
242,a0f94565-9169-49ee-8e6a-21bdc43d9de6,ColoRect-AdenoCA,5,1
243,66701395-5a53-41bb-866b-3bbf08bc33ab,ColoRect-AdenoCA,6,1
244,0980e7fd-051d-45e9-9ca6-2baf073da4e8,ColoRect-AdenoCA,7,1
245,6ca5c1bb-275b-4d05-948a-3c6c7d03fab9,ColoRect-AdenoCA,8,1
246,d0a0d845-32e2-4590-b909-29bd27b92900,ColoRect-AdenoCA,9,1
247,75ad15b9-8f9c-40c1-9ca6-1e8454fbd310,ColoRect-AdenoCA,10,1
249,2cdc4cce-0877-4ec1-85f5-20c909912e65,ColoRect-AdenoCA,2,1
250,bd403458-5154-488b-931a-a7e737a6bf8c,Lymph-BNHL,3,1
251,fa676301-902f-473f-8313-5bff34ae549a,Lymph-BNHL,4,1
252,aa847c3d-d3a7-46aa-a81b-db5099a458fb,Lymph-BNHL,5,1
253,e89e9c69-ffcd-4a4c-818d-1dee43ddc76a,Lymph-BNHL,6,1
254,a29278af-7ecf-403e-b6a9-623ea7879d05,Lymph-BNHL,7,1
255,897a4500-6fb8-4e81-aa07-021a26d632fb,Lymph-BNHL,8,1
256,1b1780d5-06da-40ee-9e15-02631a68027b,Lymph-BNHL,9,1
264,7cae6c0b-36fe-411b-bbba-093a4c846d84,CNS-GBM,10,1
266,d1132127-1250-43af-9c16-425798a3d1a7,CNS-GBM,2,1
267,a8f86b64-914c-4d89-897b-33bcdd1759f7,CNS-GBM,3,1
268,82d7fa2d-19cd-41b7-8ed1-ea9fb9a544c6,CNS-GBM,4,1
269,6de41ac1-229b-40b9-a494-5588c284351d,CNS-GBM,5,1
270,41d50a3c-49fc-4d8a-9c25-bbbcd3a5da6f,CNS-GBM,6,1
271,2fdab641-d73b-4f9a-aa4c-c1944f131a69,CNS-GBM,7,1
272,0332b017-17d5-4083-8fc4-9d6f8fdbbbde,CNS-GBM,8,1
273,914421d2-898e-433e-bb66-b1710eaae2c7,CNS-GBM,9,1
274,3914c02e-44ad-4c96-8464-61aa95b42c49,CNS-GBM,10,1
276,c27290e4-6835-448a-abdc-df8ddd5f4630,CNS-GBM,2,1
277,65723119-bdfe-46f0-b629-c171023abd71,CNS-GBM,3,1
278,fca08ee9-b480-4dc7-be56-f1eb03b56f7c,CNS-GBM,4,1
279,d60f54f5-b154-42c4-99fb-cea4e7a33dc7,CNS-GBM,5,1
280,c065761d-f775-457f-bda0-4c7c257a701e,CNS-GBM,6,1
281,96e3db14-2bb1-4f68-aed6-5e794750c96e,CNS-GBM,7,1
282,b8151614-b08f-49a3-ab6f-2e780f765a17,CNS-GBM,8,1
283,4d7f2c74-862b-4aad-98e1-fa831f14a905,CNS-GBM,9,1
284,4a1ad661-f6ae-44e8-b50b-72ff658ff22b,CNS-GBM,10,1
286,04339769-517c-448d-a7ca-951f83608c60,CNS-GBM,2,1
287,374cbd87-428e-4509-85c1-b7d3302c30a0,CNS-GBM,3,1
288,f98de26b-c7d6-435d-81fa-1f1869da9087,CNS-GBM,4,1
289,5fd77ba9-5015-4d8b-86a0-582e5c76bdd6,CNS-GBM,5,1
290,b60392fb-43d9-4c9c-b91b-ded40492e61c,CNS-GBM,6,1
291,56ffaa35-814c-4c0b-b3c6-d4514d34fec2,CNS-GBM,7,1
292,b1e62d8e-24d2-4118-8cd0-3142acebdd5b,CNS-GBM,8,1
293,a8041e86-071e-46cd-8fb5-7ecdc1ab0553,Head-SCC,9,1
294,5193a482-6ed9-4504-bd7c-c8b9e4103577,Head-SCC,10,1
296,878a7fe7-20ff-4651-9587-b4d6fd42e929,Head-SCC,2,1
297,46d35b82-e1b7-4d35-be5e-3a70fd47e421,Head-SCC,3,1
298,c76f7fcc-2748-4b6d-805e-d21652dd5e3a,Head-SCC,4,1
299,dfa20d2d-1ba3-476a-b4b9-21d21470bee2,Head-SCC,5,1
300,7158c9fd-a633-4fef-aa23-bd285f2a87a8,Head-SCC,6,1
301,a0fe80e0-e3ac-485b-8a1a-4c80c101b874,Head-SCC,7,1
302,1aff91a6-1b0f-4575-8f4b-4e064a50b886,Head-SCC,8,1
303,d3709eea-ca2a-49ac-b79c-871a5473d450,Head-SCC,9,1
304,a315b798-f037-48d5-91ed-e733e3bbd6ee,Head-SCC,10,1
306,190eb791-383d-4e27-870d-e470630843e7,Head-SCC,2,1
307,8294a969-59a1-4d3b-895b-f07e96bf9f7a,Head-SCC,3,1
308,e2b5c926-491d-430d-8d9c-5c73d7752d1b,Head-SCC,4,1
309,c121de15-78f7-4698-91bf-fd0485c466c2,Head-SCC,5,1
310,ee963667-56b1-49bd-8896-e07b536d3014,Head-SCC,6,1
311,5046f1b4-9d95-4841-ba30-691fa44719a2,Head-SCC,7,1
312,7e584ff6-0b81-4f85-81da-b8117afee326,Head-SCC,8,1
313,feccc27e-5c2e-4339-8746-0945fee93c1e,Head-SCC,9,1
314,1db83e80-bdf7-4d8d-8008-bd8406d641fc,Head-SCC,10,1
316,6bbd66dd-efee-4d6e-b02f-f88e98526b82,Head-SCC,2,1
317,e52ffa79-557a-4024-81f3-f3826c227ec5,Head-SCC,3,1
318,ef673d3d-2031-4036-ba25-4bc7ef04075b,Head-SCC,4,1
319,b537bc07-9998-49f4-bbbe-5b617152bfd9,Head-SCC,5,1
320,dd67dec6-35dd-4efe-b913-ed4884855365,Head-SCC,6,1
321,81598359-24d5-4a8b-a6e6-7a6f94289119,Head-SCC,7,1
322,c0812962-a345-48b7-aec0-01336c2d1eed,Head-SCC,8,1
323,02c6a893-49c5-49d1-8eb1-195021e70d52,Head-SCC,9,1
324,83eca7b5-45bb-44c0-8afe-36f8988d0078,Head-SCC,10,1
326,0e6ca8dc-0f31-4675-95b1-5920576daeff,Head-SCC,2,1
327,ab923db7-54e8-4a50-b7fd-c2b4b300041e,Head-SCC,3,1
328,9988eb07-01f6-4f83-8699-bb63e0525f08,Head-SCC,4,1
329,c2124bb2-30e1-4093-9a8a-3a188a6dc0a9,Head-SCC,5,1
330,21205681-a0c7-48d0-81d4-0b7ef31158cf,Head-SCC,6,1
331,54e78de0-d357-4125-a904-ab35e461572b,Head-SCC,7,1
332,d25a4c65-9cb4-4611-909e-e68f93408d84,Head-SCC,8,1
333,b86e88e7-0d5f-4b32-a35f-dc97251ab990,Head-SCC,9,1
334,08227616-02a5-46e8-9db1-f2d1d691ab23,Head-SCC,10,1
336,d72a7338-c144-4c62-a70e-2177a3b4b77e,Kidney-ChRCC,2,1
337,c56505cb-e150-408d-9df6-3af4e608c376,Kidney-ChRCC,3,1
338,4729fe4b-c1ac-489b-a67e-91e5c5e3ff8c,Kidney-ChRCC,4,1
339,93b51c61-6eea-4228-a102-840a2e118522,Kidney-ChRCC,5,1
340,9d29543e-8601-4fd0-8e76-3df3de465cab,Kidney-ChRCC,6,1
341,09537dce-c797-4b60-962a-d4c3cd6ab00a,Kidney-ChRCC,7,1
342,64f696a6-58b2-40a8-b848-fd775cd52529,Kidney-ChRCC,8,1
343,148536ce-ee2a-4952-a19d-10d6f44146b9,Kidney-ChRCC,9,1
344,0b811c6a-8f05-44bd-ac33-fb720d189e71,Kidney-ChRCC,10,1
346,ba686386-8113-4885-b20f-6ad09a295604,Kidney-ChRCC,2,1
347,d113ce88-04ab-4675-b363-92f80c28de34,Kidney-ChRCC,3,1
348,58c7e9c3-1345-48c0-a758-0887358b8696,Kidney-ChRCC,4,1
349,c6d6f49e-6e95-4e41-8388-71f6fe017d80,Kidney-ChRCC,5,1
350,9fb73d89-f7c4-47b2-810b-3ce37cd8a3c9,Kidney-ChRCC,6,1
351,2ccd028d-e7e0-4f77-a512-f658a31819a4,Kidney-ChRCC,7,1
352,322f0b01-2118-4dbe-aba1-3875a54ee71b,Kidney-ChRCC,8,1
353,d648c804-4eaf-4252-8b6f-13378158a07d,Kidney-ChRCC,9,1
354,5bebc389-de0d-45b8-9d2f-6476988c358a,Kidney-ChRCC,10,1
356,e9032df3-8692-4146-a867-b9b64c9b310a,Kidney-ChRCC,2,1
357,9d3b0b87-5fc5-4d09-9c63-4d5fc4bc46d0,Kidney-ChRCC,3,1
358,fae88d21-171c-4df4-b258-3c5948a1034b,Kidney-ChRCC,4,1
359,cdf313c8-59f9-41c6-9bd2-f47cb4287da5,Kidney-ChRCC,5,1
360,7087a2b6-7fc4-45b0-8c48-248864f03deb,Kidney-ChRCC,6,1
361,1e8ae8dd-74c1-44d5-a74e-bfdce801c736,Kidney-ChRCC,7,1
362,07e0e938-f61f-477a-92a2-5b7e74b78943,Kidney-ChRCC,8,1
363,4ecbfd89-393f-4126-aa1c-951a2c23ef89,Kidney-ChRCC,9,1
364,c29f6ed6-880d-4f03-977e-1087738e5e60,Kidney-ChRCC,10,1
366,bd2ec47b-a120-4b3b-b10d-aee09805ab33,Kidney-ChRCC,2,1
367,3ace181a-23bd-424e-a87e-e0c01a2a2cb8,Kidney-ChRCC,3,1
368,85ed2434-da94-4333-90ca-6ca4691cbdd3,Kidney-ChRCC,4,1
369,a3deafcb-b54f-4b7e-89ac-c92c16fb919f,Kidney-ChRCC,5,1
370,34739bd6-b3be-441d-8cdb-e4233bf14080,Kidney-ChRCC,6,1
371,f38fc6ac-2af8-4d89-a514-4e2c5fdf08de,Kidney-ChRCC,7,1
372,81bb13fc-f082-4c0b-8066-1729f11ef617,Kidney-ChRCC,8,1
373,6400c324-2c94-477d-acb9-669d4ea46f1e,Kidney-ChRCC,9,1
374,a592e80a-3b1a-46aa-be30-bcd87d6bca6f,Kidney-ChRCC,10,1
376,9dfcbabf-2bc0-43a2-bdde-d0b2aaca3f6b,Kidney-ChRCC,2,1
377,345a06d6-fa5c-4674-a847-88a6b537cf3c,Kidney-ChRCC,3,1
