,nm_class,samples,slices,fold
145,BLCA,TCGA-ZF-A9R2-01A-11D-A391-08,6,1
146,BLCA,TCGA-CU-A72E-01A-12D-A339-08,7,1
147,BLCA,TCGA-UY-A8OB-01A-12D-A42E-08,8,1
148,BLCA,TCGA-GC-A3WC-01A-31D-A22Z-08,9,1
149,BLCA,TCGA-HQ-A5NE-01A-12D-A289-08,10,1
151,BLCA,TCGA-UY-A9PF-01A-11D-A38G-08,2,1
152,BLCA,TCGA-DK-A3WX-01A-22D-A22Z-08,3,1
153,BLCA,TCGA-FD-A6TH-01A-11D-A32B-08,4,1
154,BLCA,TCGA-ZF-AA54-01A-11D-A391-08,5,1
155,BLCA,TCGA-BT-A20J-01A-11D-A14W-08,6,1
156,BLCA,TCGA-BT-A42E-01A-11D-A23U-08,7,1
157,BLCA,TCGA-DK-A6B2-01A-11D-A30E-08,8,1
158,BLCA,TCGA-XF-A9SI-01A-11D-A391-08,9,1
159,BLCA,TCGA-E7-A3Y1-01A-11D-A22Z-08,10,1
161,BLCA,TCGA-BT-A2LD-01A-12D-A20D-08,2,1
162,BLCA,TCGA-SY-A9G0-01A-12D-A38G-08,3,1
163,BLCA,TCGA-GV-A3QG-01A-11D-A21Z-08,4,1
164,BLCA,TCGA-4Z-AA84-01A-11D-A391-08,5,1
165,BLCA,TCGA-4Z-AA7S-01A-11D-A391-08,6,1
166,BLCA,TCGA-4Z-AA7Q-01A-11D-A391-08,7,1
167,BLCA,TCGA-CF-A27C-01A-11D-A16O-08,8,1
168,BLCA,TCGA-E7-A677-01A-11D-A30E-08,9,1
169,BLCA,TCGA-G2-A3VY-01A-11D-A22Z-08,10,1
171,BLCA,TCGA-CU-A0YN-01A-21D-A10S-08,2,1
172,BLCA,TCGA-XF-A9SL-01A-11D-A391-08,3,1
173,BLCA,TCGA-FD-A3B5-01A-11D-A20D-08,4,1
174,BLCA,TCGA-CF-A47T-01A-11D-A23U-08,5,1
175,BLCA,TCGA-DK-A6B1-01A-12D-A30E-08,6,1
176,BLCA,TCGA-CU-A0YR-01A-12D-A10S-08,7,1
177,BLCA,TCGA-BT-A0S7-01A-11D-A10S-08,8,1
178,BLCA,TCGA-XF-A9T8-01A-11D-A391-08,9,1
179,BLCA,TCGA-FD-A3N6-01A-11D-A21A-08,10,1
181,BLCA,TCGA-KQ-A41P-01A-12D-A339-08,2,1
182,BLCA,TCGA-XF-AAME-01A-12D-A42E-08,3,1
183,BLCA,TCGA-ZF-AA58-01A-12D-A42E-08,4,1
184,BLCA,TCGA-GV-A6ZA-01A-12D-A339-08,5,1
185,BLCA,TCGA-YC-A8S6-01A-31D-A38G-08,6,1
186,BLCA,TCGA-XF-A8HH-01A-11D-A38G-08,7,1
187,BLCA,TCGA-GC-A6I1-01A-12D-A31L-08,8,1
188,BLCA,TCGA-GC-A6I3-01A-11D-A31L-08,9,1
189,BLCA,TCGA-GC-A3YS-01A-11D-A23M-08,10,1
191,BLCA,TCGA-ZF-A9R3-01A-11D-A38G-08,2,1
192,BLCA,TCGA-4Z-AA81-01A-11D-A391-08,3,1
193,BLCA,TCGA-FT-A3EE-01A-11D-A202-08,4,1
194,BLCA,TCGA-DK-A1AG-01A-11D-A13W-08,5,1
195,BLCA,TCGA-R3-A69X-01A-22D-A30E-08,6,1
196,BLCA,TCGA-CF-A47X-01A-31D-A23U-08,7,1
197,BLCA,TCGA-ZF-A9RE-01A-11D-A38G-08,8,1
198,BLCA,TCGA-ZF-AA4T-01A-11D-A38G-08,9,1
199,BLCA,TCGA-GC-A3I6-01A-11D-A20D-08,10,1
201,BLCA,TCGA-MV-A51V-01A-11D-A26M-08,2,1
202,BLCA,TCGA-FD-A62S-01A-11D-A30E-08,3,1
203,BLCA,TCGA-CF-A3MI-01A-11D-A20D-08,4,1
204,BLCA,TCGA-ZF-A9R0-01A-11D-A38G-08,5,1
205,BLCA,TCGA-KQ-A41O-01A-12D-A34U-08,6,1
206,BLCA,TCGA-UY-A78N-01A-12D-A339-08,7,1
207,BLCA,TCGA-ZF-A9RF-01A-11D-A38G-08,8,1
208,BLCA,TCGA-ZF-AA5H-01A-11D-A391-08,9,1
209,BLCA,TCGA-DK-AA74-01A-11D-A391-08,10,1
211,BLCA,TCGA-FD-A3B3-01A-12D-A202-08,2,1
212,BLCA,TCGA-XF-A9SM-01A-11D-A42E-08,3,1
213,BLCA,TCGA-LC-A66R-01A-41D-A30E-08,4,1
214,BLCA,TCGA-DK-A1AB-01A-11D-A13W-08,5,1
215,BLCA,TCGA-4Z-AA89-01A-11D-A391-08,6,1
216,BLCA,TCGA-CF-A9FL-01A-11D-A38G-08,7,1
217,BLCA,TCGA-DK-A2I2-01A-11D-A17V-08,8,1
218,BLCA,TCGA-E7-A4XJ-01A-11D-A26M-08,9,1
219,BLCA,TCGA-FD-A6TG-01A-11D-A32B-08,10,1
221,BLCA,TCGA-DK-A3IS-01A-21D-A21A-08,2,1
222,BLCA,TCGA-FD-A43U-01A-11D-A23U-08,3,1
223,BLCA,TCGA-DK-AA6L-01A-11D-A391-08,4,1
224,BLCA,TCGA-FD-A3B8-01A-31D-A20D-08,5,1
225,BLCA,TCGA-YF-AA3M-01A-11D-A42E-08,6,1
226,BLCA,TCGA-FD-A3B6-01A-21D-A20D-08,7,1
227,BLCA,TCGA-ZF-AA53-01A-11D-A391-08,8,1
228,BLCA,TCGA-UY-A78P-01A-12D-A364-08,9,1
229,BLCA,TCGA-CU-A3QU-01A-11D-A22Z-08,10,1
231,BLCA,TCGA-GU-A764-01A-11D-A34U-08,2,1
232,BLCA,TCGA-HQ-A2OE-01A-11D-A202-08,3,1
233,BLCA,TCGA-CF-A1HR-01A-11D-A13W-08,4,1
234,BLCA,TCGA-FD-A43N-01A-11D-A23U-08,5,1
235,BLCA,TCGA-FD-A6TE-01A-12D-A339-08,6,1
236,BLCA,TCGA-K4-A5RI-01A-11D-A289-08,7,1
237,BLCA,TCGA-FJ-A3Z7-01A-12D-A23M-08,8,1
238,BLCA,TCGA-BT-A20N-01A-11D-A14W-08,9,1
239,BLCA,TCGA-DK-AA76-01A-11D-A391-08,10,1
241,BLCA,TCGA-H4-A2HO-01A-11D-A17V-08,2,1
242,BLCA,TCGA-FD-A62O-01A-11D-A30E-08,3,1
243,BLCA,TCGA-4Z-AA83-01A-11D-A391-08,4,1
244,BLCA,TCGA-BL-A3JM-01A-12D-A21A-08,5,1
245,BLCA,TCGA-FD-A43X-01A-11D-A23U-08,6,1
246,BLCA,TCGA-XF-AAMJ-01A-11D-A42E-08,7,1
247,BLCA,TCGA-BT-A2LA-01A-11D-A18F-08,8,1
248,BLCA,TCGA-CU-A3KJ-01A-11D-A21A-08,9,1
249,BLCA,TCGA-UY-A78M-01A-21D-A34U-08,10,1
251,BLCA,TCGA-FD-A3SP-01A-31D-A22Z-08,2,1
252,BLCA,TCGA-E7-A97Q-01A-11D-A38G-08,3,1
253,BLCA,TCGA-G2-A3IE-01A-11D-A20D-08,4,1
254,BLCA,TCGA-DK-A3IL-01A-11D-A20D-08,5,1
255,BLCA,TCGA-DK-A3X2-01A-11D-A22Z-08,6,1
256,BLCA,TCGA-GU-A42P-01A-11D-A23U-08,7,1
257,BLCA,TCGA-2F-A9KQ-01A-11D-A38G-08,8,1
258,BLCA,TCGA-XF-A9SY-01A-21D-A42E-08,9,1
259,BLCA,TCGA-FJ-A3ZF-01A-11D-A23M-08,10,1
261,BLCA,TCGA-K4-A6MB-01A-11D-A31L-08,2,1
262,BLCA,TCGA-CU-A3YL-01A-11D-A22Z-08,3,1
263,BLCA,TCGA-ZF-AA4U-01A-11D-A38G-08,4,1
264,BLCA,TCGA-E7-A7XN-01A-11D-A34U-08,5,1
265,BLCA,TCGA-K4-A3WU-01B-11D-A23M-08,6,1
266,BLCA,TCGA-E5-A2PC-01A-11D-A202-08,7,1
267,BLCA,TCGA-DK-AA6S-01A-21D-A391-08,8,1
268,BLCA,TCGA-XF-AAMQ-01A-11D-A42E-08,9,1
269,BLCA,TCGA-UY-A8OC-01A-11D-A364-08,10,1
271,BLCA,TCGA-UY-A9PB-01A-11D-A38G-08,2,1
272,BLCA,TCGA-DK-AA6M-01A-11D-A391-08,3,1
273,BLCA,TCGA-C4-A0F1-01A-11D-A10S-08,4,1
274,BLCA,TCGA-FD-A3NA-01A-11D-A21A-08,5,1
275,BLCA,TCGA-DK-A1A6-06A-11D-A42E-08,6,1
276,BLCA,TCGA-G2-A2EJ-01A-11D-A17V-08,7,1
277,BLCA,TCGA-CF-A3MH-01A-11D-A20D-08,8,1
278,BLCA,TCGA-BT-A3PH-01A-11D-A21Z-08,9,1
279,BLCA,TCGA-FD-A3SL-01A-21D-A22Z-08,10,1
281,BLCA,TCGA-G2-A2EC-01A-11D-A17V-08,2,1
282,BLCA,TCGA-FD-A5C0-01A-11D-A289-08,3,1
283,BLCA,TCGA-BT-A42C-01A-11D-A23M-08,4,1
284,BLCA,TCGA-FD-A3SO-01A-11D-A22Z-08,5,1
285,BLCA,TCGA-CF-A5U8-01A-11D-A289-08,6,1
286,BLCA,TCGA-E5-A4TZ-01A-11D-A31L-08,7,1
287,BLCA,TCGA-CF-A9FH-01A-11D-A38G-08,8,1
288,BLCA,TCGA-ZF-A9RG-01A-21D-A42E-08,9,1
289,BLCA,TCGA-FD-A6TI-01A-11D-A32B-08,10,1
291,BLCA,TCGA-XF-A9SX-01A-21D-A391-08,2,1
292,BLCA,TCGA-DK-A1AA-01A-11D-A13W-08,3,1
293,BLCA,TCGA-HQ-A2OF-01A-11D-A26M-08,4,1
294,BLCA,TCGA-GC-A3OO-01A-11D-A22Z-08,5,1
295,BLCA,TCGA-XF-AAMW-01A-11D-A42E-08,6,1
296,BLCA,TCGA-C4-A0EZ-01A-21D-A10S-08,7,1
297,BLCA,TCGA-E5-A4U1-01A-11D-A31L-08,8,1
298,BLCA,TCGA-DK-A1AC-01A-11D-A13W-08,9,1
299,BLCA,TCGA-E7-A6ME-01A-22D-A32B-08,10,1
301,BLCA,TCGA-XF-AAN3-01A-11D-A42E-08,2,1
302,BLCA,TCGA-2F-A9KP-01A-11D-A38G-08,3,1
303,BLCA,TCGA-2F-A9KO-01A-11D-A38G-08,4,1
304,BLCA,TCGA-YF-AA3L-01A-11D-A38G-08,5,1
305,BLCA,TCGA-GD-A76B-01A-11D-A32B-08,6,1
306,BLCA,TCGA-GC-A3BM-01A-11D-A22Z-08,7,1
307,BLCA,TCGA-FD-A6TD-01A-51D-A339-08,8,1
308,BLCA,TCGA-K4-A4AC-01A-21D-A26M-08,9,1
309,BLCA,TCGA-DK-A3IU-01A-11D-A20D-08,10,1
311,BLCA,TCGA-ZF-AA52-01A-12D-A391-08,2,1
312,BLCA,TCGA-DK-A1A5-01A-11D-A13W-08,3,1
313,BLCA,TCGA-BL-A5ZZ-01A-31D-A30E-08,4,1
314,BLCA,TCGA-FD-A6TA-01A-12D-A339-08,5,1
315,BLCA,TCGA-FD-A5BV-01A-11D-A26M-08,6,1
316,BLCA,TCGA-XF-A9T0-01A-11D-A391-08,7,1
317,BLCA,TCGA-DK-A3IK-01A-32D-A21A-08,8,1
318,BLCA,TCGA-DK-A1A7-01A-11D-A13W-08,9,1
319,BLCA,TCGA-BT-A20X-01A-11D-A16O-08,10,1
321,BLCA,TCGA-XF-A9T2-01A-11D-A42E-08,2,1
322,BLCA,TCGA-K4-A6FZ-01A-11D-A31L-08,3,1
323,BLCA,TCGA-ZF-AA4V-01A-11D-A38G-08,4,1
324,BLCA,TCGA-UY-A9PE-01A-11D-A38G-08,5,1
325,BLCA,TCGA-UY-A8OD-01A-11D-A364-08,6,1
326,BLCA,TCGA-DK-AA6T-01A-11D-A391-08,7,1
327,BLCA,TCGA-GU-AATO-01A-11D-A391-08,8,1
328,BLCA,TCGA-G2-A2ES-01A-11D-A17V-08,9,1
329,BLCA,TCGA-DK-A3WW-01A-22D-A23M-08,10,1
331,BLCA,TCGA-BT-A20R-01A-12D-A16O-08,2,1
332,BLCA,TCGA-DK-A6B6-01A-11D-A30E-08,3,1
333,BLCA,TCGA-BT-A20P-01A-11D-A14W-08,4,1
334,BLCA,TCGA-DK-A3IV-01A-22D-A21A-08,5,1
335,BLCA,TCGA-2F-A9KR-01A-11D-A38G-08,6,1
336,BLCA,TCGA-ZF-A9R4-01A-11D-A38G-08,7,1
337,BLCA,TCGA-GV-A3JV-01A-11D-A21Z-08,8,1
338,BLCA,TCGA-XF-A9T4-01A-11D-A391-08,9,1
339,BLCA,TCGA-BT-A2LB-01A-11D-A18F-08,10,1
341,BLCA,TCGA-K4-A83P-01A-11D-A34U-08,2,1
342,BLCA,TCGA-XF-AAMX-01A-11D-A42E-08,3,1
343,BLCA,TCGA-UY-A78K-01A-11D-A339-08,4,1
344,BLCA,TCGA-FD-A3B4-01A-12D-A202-08,5,1
345,BLCA,TCGA-ZF-A9R1-01A-11D-A391-08,6,1
346,BLCA,TCGA-XF-A9SP-01A-11D-A391-08,7,1
347,BLCA,TCGA-DK-A3WY-01A-11D-A22Z-08,8,1
348,BLCA,TCGA-FD-A6TC-01A-21D-A339-08,9,1
349,BLCA,TCGA-G2-AA3F-01A-12D-A42E-08,10,1
351,BLCA,TCGA-FD-A62N-01A-11D-A30E-08,2,1
352,BLCA,TCGA-ZF-AA56-01A-31D-A391-08,3,1
353,BLCA,TCGA-G2-A2EF-01A-12D-A18F-08,4,1
354,BLCA,TCGA-LT-A8JT-01A-11D-A364-08,5,1
355,BLCA,TCGA-G2-A2EO-01A-11D-A17V-08,6,1
356,BLCA,TCGA-K4-A5RJ-01A-11D-A289-08,7,1
357,BLCA,TCGA-4Z-AA7O-01A-31D-A391-08,8,1
358,BLCA,TCGA-DK-AA6R-01A-11D-A42E-08,9,1
359,BLCA,TCGA-UY-A9PD-01A-11D-A38G-08,10,1
361,BLCA,TCGA-ZF-AA4N-01A-11D-A38G-08,2,1
362,BLCA,TCGA-C4-A0F7-01A-11D-A10S-08,3,1
363,BLCA,TCGA-FD-A3B7-01A-31D-A20D-08,4,1
364,BLCA,TCGA-G2-AA3C-01A-21D-A391-08,5,1
365,BLCA,TCGA-LT-A5Z6-01A-11D-A289-08,6,1
366,BLCA,TCGA-FD-A43Y-01A-21D-A26M-08,7,1
367,BLCA,TCGA-SY-A9G5-01A-11D-A38G-08,8,1
368,BLCA,TCGA-DK-AA75-01A-11D-A391-08,9,1
369,BLCA,TCGA-BT-A20O-01A-21D-A14W-08,10,1
371,BLCA,TCGA-FJ-A3ZE-01A-11D-A23M-08,2,1
372,BLCA,TCGA-DK-A3IQ-01A-31D-A20D-08,3,1
373,BLCA,TCGA-4Z-AA82-01A-11D-A391-08,4,1
374,BLCA,TCGA-GD-A3OP-01A-21D-A21Z-08,5,1
375,BLCA,TCGA-UY-A9PH-01A-11D-A38G-08,6,1
376,BLCA,TCGA-4Z-AA7M-01A-11D-A391-08,7,1
377,BLCA,TCGA-BT-A20Q-01A-11D-A14W-08,8,1
378,BLCA,TCGA-5N-A9KM-01A-11D-A42E-08,9,1
379,BLCA,TCGA-BT-A20V-01A-11D-A14W-08,10,1
381,BLCA,TCGA-XF-A8HB-01A-11D-A364-08,2,1
382,BLCA,TCGA-ZF-AA4W-01A-12D-A38G-08,3,1
383,BLCA,TCGA-FD-A3SN-01A-12D-A22Z-08,4,1
384,BLCA,TCGA-E7-A85H-01A-11D-A34U-08,5,1
385,BLCA,TCGA-BT-A3PK-01A-21D-A21Z-08,6,1
386,BLCA,TCGA-CF-A8HY-01A-11D-A364-08,7,1
387,BLCA,TCGA-CF-A9FF-01A-11D-A38G-08,8,1
388,BLCA,TCGA-XF-AAMY-01A-11D-A42E-08,9,1
389,BLCA,TCGA-XF-A9T6-01A-11D-A42E-08,10,1
391,BLCA,TCGA-E7-A5KE-01A-11D-A289-08,2,1
392,BLCA,TCGA-XF-AAMG-01A-11D-A42E-08,3,1
393,BLCA,TCGA-DK-A3X1-01A-12D-A22Z-08,4,1
394,BLCA,TCGA-GU-A42Q-01A-11D-A23U-08,5,1
395,BLCA,TCGA-FD-A5BR-01A-11D-A26M-08,6,1
396,BLCA,TCGA-E7-A3X6-01A-12D-A22Z-08,7,1
397,BLCA,TCGA-4Z-AA87-01A-11D-A391-08,8,1
398,BLCA,TCGA-K4-A54R-01A-11D-A26M-08,9,1
399,BLCA,TCGA-ZF-A9RM-01A-11D-A38G-08,10,1
401,BLCA,TCGA-UY-A78L-01A-12D-A339-08,2,1
402,BLCA,TCGA-E7-A519-01A-11D-A26M-08,3,1
403,BLCA,TCGA-KQ-A41S-01A-12D-A339-08,4,1
404,BLCA,TCGA-GU-AATP-01A-11D-A391-08,5,1
405,BLCA,TCGA-K4-A3WV-01A-11D-A22Z-08,6,1
406,BLCA,TCGA-DK-A3IT-01A-31D-A20D-08,7,1
407,BLCA,TCGA-XF-AAN4-01A-11D-A42E-08,8,1
408,BRCA,TCGA-BH-A0BS-01A-11D-A12Q-09,9,1
409,BRCA,TCGA-AN-A0XU-01A-11D-A10G-09,10,1
411,BRCA,TCGA-A2-A0YE-01A-11D-A10G-09,2,1
412,BRCA,TCGA-D8-A27M-01A-11D-A16D-09,3,1
413,BRCA,TCGA-C8-A278-01A-11D-A167-09,4,1
414,BRCA,TCGA-EW-A1OV-01A-11D-A142-09,5,1
415,BRCA,TCGA-5L-AAT0-01A-12D-A41F-09,6,1
416,BRCA,TCGA-BH-A18F-01A-11D-A12B-09,7,1
417,BRCA,TCGA-BH-A18J-01A-11D-A12B-09,8,1
418,BRCA,TCGA-AN-A0XR-01A-11D-A10G-09,9,1
419,BRCA,TCGA-A2-A1FX-01A-11D-A13L-09,10,1
421,BRCA,TCGA-EW-A1OZ-01A-11D-A142-09,2,1
422,BRCA,TCGA-AO-A1KT-01A-11D-A13L-09,3,1
423,BRCA,TCGA-AO-A12E-01A-11D-A10M-09,4,1
424,BRCA,TCGA-BH-A0BM-01A-11W-A071-09,5,1
425,BRCA,TCGA-BH-A0H9-01A-11W-A071-09,6,1
426,BRCA,TCGA-BH-A0HI-01A-11D-A099-09,7,1
427,BRCA,TCGA-BH-A0BQ-01A-21D-A10Y-09,8,1
428,BRCA,TCGA-A1-A0SP-01A-11D-A099-09,9,1
429,BRCA,TCGA-AC-A2FF-01A-11D-A17D-09,10,1
431,BRCA,TCGA-D8-A1JU-01A-11D-A13L-09,2,1
432,BRCA,TCGA-BH-A18N-01A-11D-A12B-09,3,1
433,BRCA,TCGA-A2-A0ST-01A-12D-A099-09,4,1
