,samples,nm_class,slices,fold
42,c99b734-7f61-88d1-e040-11ac0c482e88.csv,Bone-Osteosarc,3,1
43,c99bbb0-e5c7-fb9e-e040-11ac0d4807e1.csv,Bone-Osteosarc,4,1
0,1658141-8398-4585-9f0f-8355dd9b0604.csv,Breast-AdenoCA,5,1
1,448206f-3ade-4087-b1a9-4fb2d14e1367.csv,Breast-AdenoCA,6,1
2,7b5141f-ac79-439b-883b-b0183bbe7ff5.csv,Breast-AdenoCA,7,1
3,97a7d36-905b-72be-e050-11ac0d482c9a.csv,Breast-AdenoCA,8,1
4,10b5f05-ded7-45ec-b0f6-a941c92d77dd.csv,Breast-AdenoCA,9,1
5,3c312ec-0add-4758-ab8d-c193e2e08c6d.csv,Breast-AdenoCA,10,1
7,5f90ef0-831b-40a3-98bd-ec226a9e8b26.csv,Breast-AdenoCA,2,1
8,bb3a1c7-4d7b-4fb6-b54d-e94cbd0e32aa.csv,Breast-AdenoCA,3,1
9,c0e384f-7254-4afe-93c0-b3fc6c6a7894.csv,Breast-AdenoCA,4,1
10,eb62abc-7928-405b-84cc-f091ca5347b2.csv,Breast-AdenoCA,5,1
11,07f8a42-5b05-4876-b0ae-ebfaeea27844.csv,Breast-AdenoCA,6,1
12,290b078-6a5b-4c83-9dfb-b525bbf14e4e.csv,Breast-AdenoCA,7,1
13,5c76a8f-77c0-4650-bddf-45ed0c10a2e6.csv,Breast-AdenoCA,8,1
14,5e4cad7-2403-4992-9cbc-433574673549.csv,Breast-AdenoCA,9,1
15,7f87d1e-2c32-4beb-9677-62f7a286673d.csv,Breast-AdenoCA,10,1
17,c6f1862-bb82-4e7e-9cb3-338bdf022ff4.csv,Breast-AdenoCA,2,1
18,da2b745-068d-408c-9163-3b3a78d4aaed.csv,Breast-AdenoCA,3,1
19,0dbe353-86d5-40ed-84c2-dbddf7beb17b.csv,Breast-AdenoCA,4,1
20,585e133-b3c1-4d90-b5f2-2b867e0ae0ec.csv,Breast-AdenoCA,5,1
21,6d1a85e-a09b-4537-86e0-eaf1eb03aed8.csv,Breast-AdenoCA,6,1
22,18e916b-7a4e-4fab-8616-15dcec4d79f8.csv,Breast-AdenoCA,7,1
23,1f140b8-72b9-4ae3-8b25-6144d9f94d0f.csv,Breast-AdenoCA,8,1
24,3f7a2e0-fec9-4e43-872d-18c6c946fa17.csv,Breast-AdenoCA,9,1
25,67ef778-f481-44f3-9768-b9900252d2ba.csv,Breast-AdenoCA,10,1
27,d409156-3a36-4c63-9ad6-b6af34f27b06.csv,Breast-AdenoCA,2,1
28,e84eed6-82a8-4e91-b0fd-61ec6ef69ce9.csv,Breast-AdenoCA,3,1
29,46b982f-60d9-43df-9761-09369afbee2d.csv,Breast-AdenoCA,4,1
30,a535c49-d42e-43c6-9d32-dc76f28d4f0f.csv,Breast-AdenoCA,5,1
31,b7d5767-2037-4175-aec9-886776343181.csv,Breast-AdenoCA,6,1
32,dbf3203-ce73-41e4-bf9a-32fc856f73f5.csv,Breast-AdenoCA,7,1
33,764e0a2-7a78-45c1-9189-6001c6518ce4.csv,Breast-AdenoCA,8,1
34,c65cb6d-8c50-4c7c-bc84-eeebe09fbe01.csv,Breast-AdenoCA,9,1
35,c8e9197-fd16-4fed-bfda-e349cab26314.csv,Breast-AdenoCA,10,1
37,e839eaf-1dbb-43f5-8846-c980e05540c7.csv,Breast-AdenoCA,2,1
38,1fda5a9-7049-406f-9348-2c24f7ddf5f4.csv,Breast-AdenoCA,3,1
39,3936e8b-c893-4afd-bd1f-be90c06a4869.csv,Breast-AdenoCA,4,1
40,4039acd-5aca-4c65-818c-3b577d295be0.csv,Breast-AdenoCA,5,1
41,456abd5-303e-4e6f-bf4e-47efefc7310f.csv,Breast-AdenoCA,6,1
42,4b57d2c-a83f-4798-b86b-a533975e4cc0.csv,Breast-AdenoCA,7,1
43,b08e810-f3c9-4155-ac11-f45a3a4f8b41.csv,Breast-AdenoCA,8,1
44,4c77098-03d0-4b22-afb1-797703e85c6c.csv,Breast-AdenoCA,9,1
45,691c87f-2468-44bb-a670-3dccd6da33c6.csv,Breast-AdenoCA,10,1
47,f558713-f32b-403b-aedf-c79efeb41c67.csv,Breast-AdenoCA,2,1
48,032b7fe-e38a-4641-a45e-67041668adc4.csv,Breast-AdenoCA,3,1
49,7064332-1d4f-4571-93ff-354ffe6d7df9.csv,Breast-AdenoCA,4,1
50,87528ac-437a-4eb8-a335-4f2076d5c006.csv,Breast-AdenoCA,5,1
51,87d41ee-6bab-490c-b0f2-bf28c0089de9.csv,Breast-AdenoCA,6,1
52,c70688d-6e43-4520-9262-eaae4e4d597d.csv,Breast-AdenoCA,7,1
53,ddf2119-a222-4fa5-a9f3-0bec7eeea36b.csv,Breast-AdenoCA,8,1
54,6c14ebc-81a2-44f7-af87-2b7ec85e5696.csv,Breast-AdenoCA,9,1
55,85cf239-ff51-46e7-9b88-4c2cb49c66b9.csv,Breast-AdenoCA,10,1
57,a58c09a-7799-4675-8310-d270224b163e.csv,Breast-AdenoCA,2,1
58,acaba97-ecde-440b-aae0-0e9c608c4b24.csv,Breast-AdenoCA,3,1
59,27d75ba-5989-4200-bfe9-f1b7d7cf8008.csv,Breast-AdenoCA,4,1
60,752b444-f033-4be4-9d24-e5e80b4181af.csv,Breast-AdenoCA,5,1
61,61ded54-f80e-4da8-b1d8-e22551c96118.csv,Breast-AdenoCA,6,1
62,67409b2-ac25-42a0-8543-4636ef132fe4.csv,Breast-AdenoCA,7,1
63,c4f9175-a8c8-424a-99d7-8bd11cae0e52.csv,Breast-AdenoCA,8,1
64,5372745-95cf-4572-a6e7-e7f5b796911a.csv,Breast-AdenoCA,9,1
65,8c6d4b8-f279-4edc-aaa3-a1cc266aec4d.csv,Breast-AdenoCA,10,1
67,abb5a94-9706-4429-8db0-c328e2004340.csv,Breast-AdenoCA,2,1
68,b45d81f-695c-4f99-beea-6dbec1ff47fc.csv,Breast-AdenoCA,3,1
69,dc7377d-82c3-480a-be3c-3d1da52c77d4.csv,Breast-AdenoCA,4,1
70,f291849-4c35-44e1-b013-8f6b7ee36113.csv,Breast-AdenoCA,5,1
71,5593865-5f8e-4a4c-b36f-73fbe64d66da.csv,Breast-AdenoCA,6,1
72,55f338f-97e2-4394-ae23-c92606069485.csv,Breast-AdenoCA,7,1
73,7dc7492-3a84-49c7-8dea-8f508b53dc40.csv,Breast-AdenoCA,8,1
74,8392f20-c9e3-4649-b64f-5b266c393a76.csv,Breast-AdenoCA,9,1
75,a43434b-197e-48ac-ae2e-46bc7f3776de.csv,Breast-AdenoCA,10,1
77,ddfbfb9-3ae8-449b-b870-46062a2571c1.csv,Breast-AdenoCA,2,1
78,221cbb5-eefa-187f-e040-11ac0c481708.csv,Breast-AdenoCA,3,1
79,393baf9-2710-9203-e040-11ac0d484504.csv,Breast-AdenoCA,4,1
80,393bafd-1baa-e5f4-e040-11ac0d48450b.csv,Breast-AdenoCA,5,1
81,393bafe-7503-5c45-e040-11ac0d484511.csv,Breast-AdenoCA,6,1
82,393bafe-c99f-3725-e040-11ac0d484514.csv,Breast-AdenoCA,7,1
83,393bb00-888d-710f-e040-11ac0d484518.csv,Breast-AdenoCA,8,1
84,393bb01-6ed7-9533-e040-11ac0d484521.csv,Breast-AdenoCA,9,1
85,393bb05-53c2-f80a-e040-11ac0d484528.csv,Breast-AdenoCA,10,1
87,393bb05-ec1c-17be-e040-11ac0d48452f.csv,Breast-AdenoCA,2,1
88,393bb07-270c-2c93-e040-11ac0d484533.csv,Breast-AdenoCA,3,1
89,393bb08-4121-cad8-e040-11ac0d484535.csv,Breast-AdenoCA,4,1
90,393bb08-5b50-e009-e040-11ac0d484537.csv,Breast-AdenoCA,5,1
91,393bb0a-9b20-a0e5-e040-11ac0d48454e.csv,Breast-AdenoCA,6,1
92,393bb0a-df7d-645c-e040-11ac0d484550.csv,Breast-AdenoCA,7,1
93,393bb0b-08ed-3335-e040-11ac0d484554.csv,Breast-AdenoCA,8,1
94,393bb0c-3ffa-cb72-e040-11ac0d48455c.csv,Breast-AdenoCA,9,1
95,393bb0c-4178-ca4a-e040-11ac0d48455f.csv,Breast-AdenoCA,10,1
97,6114c69-71a1-47d5-9b28-b0227b1872f7.csv,Breast-AdenoCA,2,1
98,69e5057-eda6-4391-ba9a-aedbf6b572da.csv,Breast-AdenoCA,3,1
99,7b847e5-0f5d-69b4-e040-11ac0c4845fe.csv,Breast-AdenoCA,4,1
100,7b84b5d-8f28-e6b7-e040-11ac0c484704.csv,Breast-AdenoCA,5,1
101,7b84bac-f161-9eee-e040-11ac0c4847ed.csv,Breast-AdenoCA,6,1
102,7b84c09-15d4-3046-e040-11ac0c4847ff.csv,Breast-AdenoCA,7,1
103,7c6486a-bb08-f77a-e040-11ac0c482953.csv,Breast-AdenoCA,8,1
104,7c6a336-3126-7580-e040-11ac0c485971.csv,Breast-AdenoCA,9,1
105,7c7373c-1972-4968-e040-11ac0d486e80.csv,Breast-AdenoCA,10,1
107,7d70fac-c76f-399e-e040-11ac0c482f9c.csv,Breast-AdenoCA,2,1
108,7d7b3db-02af-61cb-e040-11ac0c480c03.csv,Breast-AdenoCA,3,1
109,7e4a2a8-093d-9e36-e040-11ac0d480c7d.csv,Breast-AdenoCA,4,1
110,7e7b258-b4b2-e6c5-e040-11ac0d486773.csv,Breast-AdenoCA,5,1
111,7e7d61f-e2dc-b523-e040-11ac0c482000.csv,Breast-AdenoCA,6,1
112,7ed28a6-8f5f-e87b-e040-11ac0c48120e.csv,Breast-AdenoCA,7,1
113,7f3e156-0dde-72b9-e040-11ac0d48542c.csv,Breast-AdenoCA,8,1
114,7f66114-e321-1d4c-e040-11ac0d48541a.csv,Breast-AdenoCA,9,1
115,7f6619b-fae8-3381-e040-11ac0c483f78.csv,Breast-AdenoCA,10,1
117,80293b8-ddb7-f575-e040-11ac0d48309d.csv,Breast-AdenoCA,2,1
118,809247c-2bab-ab06-e040-11ac0d482b8a.csv,Breast-AdenoCA,3,1
119,848b66f-bd9e-4fba-afd4-eb58848d1ef4.csv,Breast-AdenoCA,4,1
120,8f749b7-547d-49fa-9da2-44eed962b6fd.csv,Breast-AdenoCA,5,1
121,b9135d9-2acf-41dd-8552-359e6b8c9470.csv,Breast-AdenoCA,6,1
122,c447d4f-2532-c8ea-e040-11ac0c48469f.csv,Breast-AdenoCA,7,1
123,c447d51-cdc2-a180-e040-11ac0c4846a4.csv,Breast-AdenoCA,8,1
124,c447d53-24d1-c83d-e040-11ac0c4846a6.csv,Breast-AdenoCA,9,1
125,c447d55-95d8-0b34-e040-11ac0d483afa.csv,Breast-AdenoCA,10,1
127,c5dc6d8-62d2-76d8-e040-11ac0d4863c3.csv,Breast-AdenoCA,2,1
128,c639186-8302-798e-e040-11ac0c484cec.csv,Breast-AdenoCA,3,1
129,c63cbab-d27a-5ebb-e040-11ac0c48724f.csv,Breast-AdenoCA,4,1
130,c68c24d-47ad-7961-e040-11ac0c48595c.csv,Breast-AdenoCA,5,1
131,c68e599-6a40-61dc-e040-11ac0d48700d.csv,Breast-AdenoCA,6,1
132,c6d77a9-121b-48ab-a899-713c3d1319a2.csv,Breast-AdenoCA,7,1
133,c78685a-7053-152a-e040-11ac0c480ded.csv,Breast-AdenoCA,8,1
134,c7eb420-5c13-20bd-e040-11ac0d484574.csv,Breast-AdenoCA,9,1
135,c7f8eeb-9c40-123e-e040-11ac0c484061.csv,Breast-AdenoCA,10,1
137,c8130df-18fe-c74d-e040-11ac0d485df2.csv,Breast-AdenoCA,2,1
138,c8130df-1bc2-c537-e040-11ac0d485de6.csv,Breast-AdenoCA,3,1
139,c8130df-1cdd-cade-e040-11ac0d485dec.csv,Breast-AdenoCA,4,1
140,c8130df-1e8f-c879-e040-11ac0d485df4.csv,Breast-AdenoCA,5,1
141,c8130df-1f21-c8f9-e040-11ac0d485dfc.csv,Breast-AdenoCA,6,1
142,c8130df-2211-cfcc-e040-11ac0d485dde.csv,Breast-AdenoCA,7,1
143,c8130df-24d9-32f1-e040-11ac0d485df0.csv,Breast-AdenoCA,8,1
144,c8130df-2628-304a-e040-11ac0d485dfa.csv,Breast-AdenoCA,9,1
145,c8130df-297f-34a3-e040-11ac0d485e02.csv,Breast-AdenoCA,10,1
147,c8130df-2d5f-3b53-e040-11ac0d485dee.csv,Breast-AdenoCA,2,1
148,c8130df-2e39-3814-e040-11ac0d485de0.csv,Breast-AdenoCA,3,1
149,c8130df-30a5-3e6a-e040-11ac0d485de2.csv,Breast-AdenoCA,4,1
150,c8130df-3147-3e94-e040-11ac0d485df8.csv,Breast-AdenoCA,5,1
151,c8130df-3225-3f96-e040-11ac0d485dfe.csv,Breast-AdenoCA,6,1
152,c8130df-3361-3c8a-e040-11ac0d485dea.csv,Breast-AdenoCA,7,1
153,c8130df-34f8-22c6-e040-11ac0d485de8.csv,Breast-AdenoCA,8,1
154,c8130df-35ac-2304-e040-11ac0d485dda.csv,Breast-AdenoCA,9,1
155,c8130df-6860-7677-e040-11ac0d485ddc.csv,Breast-AdenoCA,10,1
157,c8130df-6bec-7627-e040-11ac0d485e04.csv,Breast-AdenoCA,2,1
158,c8130df-897d-5404-e040-11ac0d485e0a.csv,Breast-AdenoCA,3,1
159,c8130df-8ec8-5b1e-e040-11ac0d485e06.csv,Breast-AdenoCA,4,1
160,c8130df-90ba-5d94-e040-11ac0d485e0c.csv,Breast-AdenoCA,5,1
161,c8130df-e399-e34d-e040-11ac0c483279.csv,Breast-AdenoCA,6,1
162,c8130e0-08dd-b996-e040-11ac0c48327b.csv,Breast-AdenoCA,7,1
163,c8130e0-095f-b953-e040-11ac0c483287.csv,Breast-AdenoCA,8,1
164,c8130e0-096a-b991-e040-11ac0c48327d.csv,Breast-AdenoCA,9,1
165,c8130e0-09f1-b964-e040-11ac0c48326e.csv,Breast-AdenoCA,10,1
167,c8130e0-0bc1-bba7-e040-11ac0c483289.csv,Breast-AdenoCA,2,1
168,c8130e0-0c53-b432-e040-11ac0c483283.csv,Breast-AdenoCA,3,1
169,c8130e0-0d25-b475-e040-11ac0c483277.csv,Breast-AdenoCA,4,1
170,c8130e0-0db6-b568-e040-11ac0c483281.csv,Breast-AdenoCA,5,1
171,c8130e0-0dcf-b558-e040-11ac0c483285.csv,Breast-AdenoCA,6,1
172,c8130e0-0e1f-b54d-e040-11ac0c48326c.csv,Breast-AdenoCA,7,1
173,c8130e0-0f1a-b6eb-e040-11ac0c48328f.csv,Breast-AdenoCA,8,1
174,c8130e0-a538-dda3-e040-11ac0c483264.csv,Breast-AdenoCA,9,1
175,c8130e0-a539-dda8-e040-11ac0c48326a.csv,Breast-AdenoCA,10,1
177,c8130e0-a8b4-d80d-e040-11ac0c483272.csv,Breast-AdenoCA,2,1
178,c8130e0-a94d-d9d0-e040-11ac0c483262.csv,Breast-AdenoCA,3,1
179,c8130e0-ad8a-b832-e040-11ac0d485e14.csv,Breast-AdenoCA,4,1
180,c8130e0-aed2-bb2f-e040-11ac0d485e12.csv,Breast-AdenoCA,5,1
181,c8130e2-f2ef-d096-e040-11ac0c483293.csv,Breast-AdenoCA,6,1
182,c8130e3-01ba-c740-e040-11ac0c483291.csv,Breast-AdenoCA,7,1
183,c8130e3-023d-c7d4-e040-11ac0c483295.csv,Breast-AdenoCA,8,1
184,c8130e5-18b8-ef38-e040-11ac0c483297.csv,Breast-AdenoCA,9,1
185,c81312a-99ae-7672-e040-11ac0c4832a2.csv,Breast-AdenoCA,10,1
187,c813235-5ed8-7695-e040-11ac0d485e3e.csv,Breast-AdenoCA,2,1
188,c8edf46-2005-1af4-e040-11ac0d481414.csv,Breast-AdenoCA,3,1
189,c93b9ab-760a-5223-e040-11ac0c482177.csv,Breast-AdenoCA,4,1
190,c9dbf68-4599-3c64-e040-11ac0d481623.csv,Breast-AdenoCA,5,1
191,c9ef456-75a2-5967-e040-11ac0c484477.csv,Breast-AdenoCA,6,1
192,c9f6916-da31-ab17-e040-11ac0c4808f3.csv,Breast-AdenoCA,7,1
193,c9f6cb0-ceb9-790d-e040-11ac0c480ad1.csv,Breast-AdenoCA,8,1
194,ca07e09-1fd2-9ef5-e040-11ac0d485bbd.csv,Breast-AdenoCA,9,1
195,ca3f7d0-2231-661c-e040-11ac0c4832fd.csv,Breast-AdenoCA,10,1
197,e04d042-a4cc-4a14-8197-415ea40951aa.csv,Breast-AdenoCA,2,1
0,332b017-17d5-4083-8fc4-9d6f8fdbbbde.csv,CNS-GBM,3,1
1,4339769-517c-448d-a7ca-951f83608c60.csv,CNS-GBM,4,1
2,8ac57ec-0036-4134-a9bb-f22eaa27ab0d.csv,CNS-GBM,5,1
3,e27cc8a-5394-4958-9af6-5ece1fe24516.csv,CNS-GBM,6,1
4,5bee010-cc99-4af0-ba2f-fe4dd308be33.csv,CNS-GBM,7,1
5,c71d542-1653-4d97-8752-f2fd05c7e75d.csv,CNS-GBM,8,1
6,ce48f01-2f61-49d9-a56a-7438bf4a37d7.csv,CNS-GBM,9,1
7,fdab641-d73b-4f9a-aa4c-c1944f131a69.csv,CNS-GBM,10,1
9,914c02e-44ad-4c96-8464-61aa95b42c49.csv,CNS-GBM,2,1
10,9520be3-a2af-4189-acf4-9d239363333a.csv,CNS-GBM,3,1
11,1d50a3c-49fc-4d8a-9c25-bbbcd3a5da6f.csv,CNS-GBM,4,1
12,a1ad661-f6ae-44e8-b50b-72ff658ff22b.csv,CNS-GBM,5,1
13,d7f2c74-862b-4aad-98e1-fa831f14a905.csv,CNS-GBM,6,1
14,3dec97d-0464-4ffd-8e2e-95b2b9a03af0.csv,CNS-GBM,7,1
15,6ffaa35-814c-4c0b-b3c6-d4514d34fec2.csv,CNS-GBM,8,1
16,fd77ba9-5015-4d8b-86a0-582e5c76bdd6.csv,CNS-GBM,9,1
17,5723119-bdfe-46f0-b629-c171023abd71.csv,CNS-GBM,10,1
19,163a0f7-2c69-40b8-8857-8ab3f46f0acf.csv,CNS-GBM,2,1
20,cae6c0b-36fe-411b-bbba-093a4c846d84.csv,CNS-GBM,3,1
21,2d7fa2d-19cd-41b7-8ed1-ea9fb9a544c6.csv,CNS-GBM,4,1
22,41eb82b-347d-4d7f-805f-3f3701a2983d.csv,CNS-GBM,5,1
23,14421d2-898e-433e-bb66-b1710eaae2c7.csv,CNS-GBM,6,1
24,6e3db14-2bb1-4f68-aed6-5e794750c96e.csv,CNS-GBM,7,1
25,6ef40c3-8d4c-4fe1-a33a-99f5b205a0bb.csv,CNS-GBM,8,1
26,880c3c9-5685-42a7-8fe9-7585ea1a1d37.csv,CNS-GBM,9,1
27,6957d15-453c-4f3b-ab8c-c38054dfe548.csv,CNS-GBM,10,1
29,1e62d8e-24d2-4118-8cd0-3142acebdd5b.csv,CNS-GBM,2,1
30,2d17671-d2e1-4c97-8b01-a976d5abe1d6.csv,CNS-GBM,3,1
31,60392fb-43d9-4c9c-b91b-ded40492e61c.csv,CNS-GBM,4,1
32,8151614-b08f-49a3-ab6f-2e780f765a17.csv,CNS-GBM,5,1
33,065761d-f775-457f-bda0-4c7c257a701e.csv,CNS-GBM,6,1
34,27290e4-6835-448a-abdc-df8ddd5f4630.csv,CNS-GBM,7,1
35,1132127-1250-43af-9c16-425798a3d1a7.csv,CNS-GBM,8,1
36,60f54f5-b154-42c4-99fb-cea4e7a33dc7.csv,CNS-GBM,9,1
37,ab71331-53d3-4cf5-96c9-5121a3962c27.csv,CNS-GBM,10,1
39,98de26b-c7d6-435d-81fa-1f1869da9087.csv,CNS-GBM,2,1
40,ca08ee9-b480-4dc7-be56-f1eb03b56f7c.csv,CNS-GBM,3,1
0,31962d6-fc7d-4c6c-9d47-ffa45997b249.csv,CNS-Medullo,4,1
1,3b5268e-881e-49e7-824f-170c3fc8b11b.csv,CNS-Medullo,5,1
2,4b9837e-9ab5-4eb9-9a9c-ef49e3a62662.csv,CNS-Medullo,6,1
3,609b182-0396-4755-b463-10f949c5b8bb.csv,CNS-Medullo,7,1
4,624eb1d-3aff-4037-a3c5-fc363a9edd02.csv,CNS-Medullo,8,1
5,ba8f2e2-935a-4123-86aa-6e7f5de85bf4.csv,CNS-Medullo,9,1
6,db9309e-7b95-4ae3-b0ed-dfd4f38d11b0.csv,CNS-Medullo,10,1
8,2ae2ba1-9484-47fe-8a3f-bba94a6abe0c.csv,CNS-Medullo,2,1
9,2d7121a-0345-4808-a819-09d6e3227bd5.csv,CNS-Medullo,3,1
10,3446fc4-9fa6-4bb3-a00a-b9265b41eb12.csv,CNS-Medullo,4,1
11,3c7065e-6780-4571-978e-a7c13078ff50.csv,CNS-Medullo,5,1
12,47e3496-514e-4da7-be42-7cd9be78ed04.csv,CNS-Medullo,6,1
13,4f41457-25c3-4979-8515-4f33322039a5.csv,CNS-Medullo,7,1
14,8f9240e-7acd-41eb-a154-c2a67a1cbe9b.csv,CNS-Medullo,8,1
15,9aa8223-ee84-4b5c-b11a-6ca2a2680b3c.csv,CNS-Medullo,9,1
16,9b6b9d6-6912-4b85-a4bf-52014bcb170b.csv,CNS-Medullo,10,1
18,bea3a72-3b73-4072-a6bb-96a90119d3ac.csv,CNS-Medullo,2,1
19,f8d8720-30ca-4057-90f7-a34b8383eafe.csv,CNS-Medullo,3,1
20,009e5e7-1796-445b-8677-46b3804fe0bf.csv,CNS-Medullo,4,1
21,09a9b10-7129-48fe-a899-d14ba17efe6f.csv,CNS-Medullo,5,1
22,321c412-7730-4694-bc8f-199d7e51a7f8.csv,CNS-Medullo,6,1
23,7847313-3b1e-47f2-84f1-acadaf265cf3.csv,CNS-Medullo,7,1
24,abe2e53-ad9b-4fbc-b9a7-93444f1bea87.csv,CNS-Medullo,8,1
25,0376989-7edb-4863-9496-1789eccef8c4.csv,CNS-Medullo,9,1
26,166f1ae-678d-42ae-9d44-d3d25d6860c7.csv,CNS-Medullo,10,1
28,2a63b4f-3baa-4987-ad30-5bd0c0548088.csv,CNS-Medullo,2,1
29,4b0c838-bf6c-4d0f-8cd2-d2928adbb539.csv,CNS-Medullo,3,1
30,5b951c0-edb0-47c4-9076-ede346ea7cb1.csv,CNS-Medullo,4,1
31,7c913e6-9ce5-4338-8849-b5bf7862d36a.csv,CNS-Medullo,5,1
32,91a949d-217a-472c-a6d4-80e548039684.csv,CNS-Medullo,6,1
33,b399659-8302-428a-9c97-1e7b455c9c2f.csv,CNS-Medullo,7,1
34,e1180a5-149c-4e6c-9a29-696e3ba567e3.csv,CNS-Medullo,8,1
35,f3aff50-d71b-44af-85d4-f81e813ea420.csv,CNS-Medullo,9,1
36,36af904-65b2-4196-ad8c-a4e98081ee41.csv,CNS-Medullo,10,1
38,8fadd0f-6561-4294-bff4-d5e4f7dfe79f.csv,CNS-Medullo,2,1
39,92694a7-bb41-4128-a909-c424e7fc0c9e.csv,CNS-Medullo,3,1
40,9fa7e44-c86f-4b1f-8849-e5fe5b9de734.csv,CNS-Medullo,4,1
41,a698352-25e6-4137-bef8-b6520d5b1b95.csv,CNS-Medullo,5,1
42,c3f733d-5fd5-4f67-af5f-8c36c5b37be2.csv,CNS-Medullo,6,1
43,d121008-0987-4142-a2b8-7dac58f3110a.csv,CNS-Medullo,7,1
44,d690424-b015-46ae-885d-aa6d9031f66f.csv,CNS-Medullo,8,1
45,d6bb438-86f0-4414-962f-2b1cebee4524.csv,CNS-Medullo,9,1
46,daa2708-d0db-40fe-a07a-763f003adcae.csv,CNS-Medullo,10,1
48,f3c2c94-fa7f-4945-9dff-e4d4dac95f56.csv,CNS-Medullo,2,1
49,18d6c1b-8234-40be-9560-6d383d5866fa.csv,CNS-Medullo,3,1
50,1dd1a39-7349-442c-b7e1-7850fb800569.csv,CNS-Medullo,4,1
51,5c75a2a-f3d2-4469-9d23-604cf539d548.csv,CNS-Medullo,5,1
52,71ce258-b453-4cac-b05e-05755791be84.csv,CNS-Medullo,6,1
53,73ee34b-43a7-40d8-95ee-0ced4b46a7c8.csv,CNS-Medullo,7,1
54,89daa3f-0b76-4c9c-b494-048955e36052.csv,CNS-Medullo,8,1
55,9bfcb53-91c1-4dce-856a-f4afc8fa6224.csv,CNS-Medullo,9,1
56,a5a8409-a8f2-4c7b-85e5-b8bd85f2930c.csv,CNS-Medullo,10,1
58,beafbbb-4613-4bab-977a-11c865e13a84.csv,CNS-Medullo,2,1
59,c775f90-83d4-4c1e-88c2-4e1ed1daa96f.csv,CNS-Medullo,3,1
